config,arm,metric,mean,std,n_params
w=24,baseline,accuracy,0.5136302083333333,0.011386722929683544,0
w=24,baseline,exact_match,0.005625000000000001,0.002065879266282796,0
w=24,trm_mixer,accuracy,0.9973541666666668,0.0013297944106526983,16842
w=24,trm_mixer,train_accuracy,0.99915234375,0.0007673452592541184,16842
w=24,trm_mixer,exact_match,0.9492499999999999,0.0217107609921242,16842
w=24,trm_mixer,coherence_excess,0.010452995044882826,0.009437445433084097,16842
w=24,trm_mixer,mean_wrong_per_row,0.0635,0.03191506585566491,16842
w=24,untied_mixer_matched,accuracy,0.9950208333333332,0.001936363594022051,17344
w=24,untied_mixer_matched,train_accuracy,0.9992252604166667,0.00045910843213270246,17344
w=24,untied_mixer_matched,exact_match,0.90075,0.033035694980689354,17344
w=24,untied_mixer_matched,coherence_excess,0.012849707941503474,0.008659420486546669,17344
w=24,untied_mixer_matched,mean_wrong_per_row,0.1195,0.04647272625652906,17344
w=24,untied_mixer,accuracy,0.9973177083333333,0.0029295580328536227,123984
w=24,untied_mixer,train_accuracy,0.9990729166666668,0.0020152644795706086,123984
w=24,untied_mixer,exact_match,0.9475,0.05723136003476213,123984
w=24,untied_mixer,coherence_excess,0.008055323300092634,0.008192930299513056,123984
w=24,untied_mixer,mean_wrong_per_row,0.064375,0.07030939278848676,123984
w=24,ff_matched,accuracy,0.9689427083333333,0.007484737695009431,16103
w=24,ff_matched,train_accuracy,0.97676171875,0.006903564930661539,16103
w=24,ff_matched,exact_match,0.509625,0.07539597848312979,16103
w=24,ff_matched,coherence_excess,0.034163114472749785,0.021245111357129563,16103
w=24,ff_matched,mean_wrong_per_row,0.745375,0.1796337046802266,16103
w=32,baseline,accuracy,0.5146835937500001,0.010038867511308157,0
w=32,baseline,exact_match,0.0023750000000000004,0.0005175491695067657,0
w=32,trm_mixer,accuracy,0.99553125,0.0011277248746290685,18130
w=32,trm_mixer,train_accuracy,0.9978642578125,0.00109774412221353,18130
w=32,trm_mixer,exact_match,0.87975,0.030774525643321136,18130
w=32,trm_mixer,coherence_excess,0.012792292765410579,0.0053256619818279624,18130
w=32,trm_mixer,mean_wrong_per_row,0.14300000000000002,0.036087195988130115,18130
w=32,untied_mixer_matched,accuracy,0.99142578125,0.0018517108326659788,17752
w=32,untied_mixer_matched,train_accuracy,0.9987675781249999,0.0005221741483823378,17752
w=32,untied_mixer_matched,exact_match,0.7911250000000001,0.03780188014976428,17752
w=32,untied_mixer_matched,coherence_excess,0.030838274722488443,0.008641546581365749,17752
w=32,untied_mixer_matched,mean_wrong_per_row,0.27437500000000004,0.059254746645311045,17752
w=32,untied_mixer,accuracy,0.99773046875,0.0006503642308833673,130704
w=32,untied_mixer,train_accuracy,0.999880859375,0.00010887561377347594,130704
w=32,untied_mixer,exact_match,0.9445,0.013103979766249827,130704
w=32,untied_mixer,coherence_excess,0.014456142675210504,0.007489947894913771,130704
w=32,untied_mixer,mean_wrong_per_row,0.07262500000000001,0.02081165538826741,130704
w=32,ff_matched,accuracy,0.9260859374999999,0.00889448235740844,18688
w=32,ff_matched,train_accuracy,0.936400390625,0.007874921110627386,18688
w=32,ff_matched,exact_match,0.105375,0.03473136704972692,18688
w=32,ff_matched,coherence_excess,0.016231787195177004,0.012957436901680478,18688
w=32,ff_matched,mean_wrong_per_row,2.36525,0.28462343543707,18688
