config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
w=24,trm_mixer-untied_mixer_matched,accuracy,0.00233333333333334,0.0014131609283884897,8,7,0,0.015625
w=24,trm_mixer-untied_mixer_matched,exact_match,0.048499999999999974,0.02277843591770829,8,8,0,0.0078125
w=24,trm_mixer-untied_mixer_matched,coherence_excess,-0.002396712896620648,0.007297850603975902,8,1,7,0.0703125
w=24,trm_mixer-untied_mixer,accuracy,3.645833333333626e-05,0.0028927966692189663,8,3,5,0.7265625
w=24,trm_mixer-untied_mixer,exact_match,0.0017500000000000016,0.05631734064338311,8,3,5,0.7265625
w=24,trm_mixer-untied_mixer,coherence_excess,0.002397671744790192,0.007005769975036031,8,3,5,0.7265625
w=24,trm_mixer-ff_matched,accuracy,0.028411458333333334,0.007501171783461561,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,exact_match,0.439625,0.07972620558601078,8,8,0,0.0078125
w=24,trm_mixer-ff_matched,coherence_excess,-0.02371011942786696,0.021288545193123332,8,1,7,0.0703125
w=24,untied_mixer_matched-ff_matched,accuracy,0.026078124999999994,0.006387667833194047,8,8,0,0.0078125
w=24,untied_mixer_matched-ff_matched,exact_match,0.391125,0.06574069733212665,8,8,0,0.0078125
w=24,untied_mixer_matched-ff_matched,coherence_excess,-0.02131340653124631,0.015624404786572196,8,0,8,0.0078125
w=32,trm_mixer-untied_mixer_matched,accuracy,0.004105468749999994,0.0019418109801967222,8,8,0,0.0078125
w=32,trm_mixer-untied_mixer_matched,exact_match,0.088625,0.04499821425028206,8,8,0,0.0078125
w=32,trm_mixer-untied_mixer_matched,coherence_excess,-0.018045981957077864,0.007740091922206171,8,0,8,0.0078125
w=32,trm_mixer-untied_mixer,accuracy,-0.0021992187499999954,0.0016066909396861898,8,0,8,0.0078125
w=32,trm_mixer-untied_mixer,exact_match,-0.06474999999999997,0.04116777519232385,8,0,8,0.0078125
w=32,trm_mixer-untied_mixer,coherence_excess,-0.0016638499097999249,0.005746045367354695,8,5,3,0.7265625
w=32,trm_mixer-ff_matched,accuracy,0.06944531250000001,0.009672118405083975,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,exact_match,0.774375,0.06206664045316824,8,8,0,0.0078125
w=32,trm_mixer-ff_matched,coherence_excess,-0.003439494429766427,0.012033423394434988,8,3,5,0.7265625
w=32,untied_mixer_matched-ff_matched,accuracy,0.06533984375000002,0.008595144976066331,8,8,0,0.0078125
w=32,untied_mixer_matched-ff_matched,exact_match,0.6857500000000001,0.051599418601375714,8,8,0,0.0078125
w=32,untied_mixer_matched-ff_matched,coherence_excess,0.014606487527311437,0.011965161171196531,8,7,1,0.0703125
