config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_blocks=3,trm_mixer-trm_flat,accuracy,0.03835416666666666,0.010602555659270848,8,8,0,0.0078125
n_blocks=3,trm_mixer-trm_flat,exact_match,0.06287500000000003,0.028945453627716496,8,8,0,0.0078125
n_blocks=3,trm_mixer-trm_flat,coherence_excess,-0.05784807404104354,0.019509141718258547,8,0,8,0.0078125
n_blocks=3,trm_flat-trm_decoupled,accuracy,0.022213541666666697,0.008158232935687511,8,8,0,0.0078125
n_blocks=3,trm_flat-trm_decoupled,exact_match,0.10874999999999999,0.019601384790730637,8,8,0,0.0078125
n_blocks=3,trm_flat-trm_decoupled,coherence_excess,0.0769147971326929,0.016256009789869165,8,8,0,0.0078125
n_blocks=3,trm_mixer-trm_decoupled,accuracy,0.06056770833333336,0.007506476618243622,8,8,0,0.0078125
n_blocks=3,trm_mixer-trm_decoupled,exact_match,0.17162500000000003,0.01515573912982894,8,8,0,0.0078125
n_blocks=3,trm_mixer-trm_decoupled,coherence_excess,0.019066723091649362,0.030620787620211462,8,5,3,0.7265625
n_blocks=3,trm_flat-untied_matched,accuracy,0.03566145833333337,0.013900447447334619,8,8,0,0.0078125
n_blocks=3,trm_flat-untied_matched,exact_match,0.08649999999999997,0.03402939905434714,8,8,0,0.0078125
n_blocks=3,trm_flat-untied_matched,coherence_excess,0.043485245277392434,0.019163273449996774,8,8,0,0.0078125
n_blocks=3,trm_mixer-ff_matched,accuracy,0.03985937500000003,0.008470974529191214,8,8,0,0.0078125
n_blocks=3,trm_mixer-ff_matched,exact_match,0.07575000000000004,0.025041394301664376,8,8,0,0.0078125
n_blocks=3,trm_mixer-ff_matched,coherence_excess,-0.048073930367424064,0.0196904946944548,8,0,8,0.0078125
n_blocks=3,trm_flat-ff_matched,accuracy,0.0015052083333333688,0.009059477123104145,8,4,4,1.0
n_blocks=3,trm_flat-ff_matched,exact_match,0.012875000000000011,0.015986043019727298,8,6,2,0.2890625
n_blocks=3,trm_flat-ff_matched,coherence_excess,0.009774143673619479,0.004561465650529019,8,8,0,0.0078125
n_blocks=4,trm_mixer-trm_flat,accuracy,0.07011718749999998,0.011690647852442653,8,8,0,0.0078125
n_blocks=4,trm_mixer-trm_flat,exact_match,0.16112499999999996,0.036203541657846526,8,8,0,0.0078125
n_blocks=4,trm_mixer-trm_flat,coherence_excess,0.10373979384708286,0.022983914661364468,8,8,0,0.0078125
n_blocks=4,trm_flat-trm_decoupled,accuracy,0.010066406250000007,0.01106138308400115,8,7,1,0.0703125
n_blocks=4,trm_flat-trm_decoupled,exact_match,0.09825,0.041657618065092786,8,8,0,0.0078125
n_blocks=4,trm_flat-trm_decoupled,coherence_excess,0.0966441564799008,0.03983045337810954,8,8,0,0.0078125
n_blocks=4,trm_mixer-trm_decoupled,accuracy,0.08018359374999999,0.007907519263941022,8,8,0,0.0078125
n_blocks=4,trm_mixer-trm_decoupled,exact_match,0.25937499999999997,0.03285438653035108,8,8,0,0.0078125
n_blocks=4,trm_mixer-trm_decoupled,coherence_excess,0.20038395032698367,0.03014846308439855,8,8,0,0.0078125
n_blocks=4,trm_flat-untied_matched,accuracy,0.022324218750000027,0.008587082437797301,8,8,0,0.0078125
n_blocks=4,trm_flat-untied_matched,exact_match,0.05600000000000002,0.01819733104449269,8,8,0,0.0078125
n_blocks=4,trm_flat-untied_matched,coherence_excess,0.053168705290232335,0.017125012105709332,8,8,0,0.0078125
n_blocks=4,trm_mixer-ff_matched,accuracy,0.05166796874999997,0.013088916571881336,8,8,0,0.0078125
n_blocks=4,trm_mixer-ff_matched,exact_match,0.12987499999999996,0.03942239211412718,8,8,0,0.0078125
n_blocks=4,trm_mixer-ff_matched,coherence_excess,0.07717518579245448,0.023850228653802867,8,8,0,0.0078125
n_blocks=4,trm_flat-ff_matched,accuracy,-0.01844921875000001,0.012082560316894109,8,1,7,0.0703125
n_blocks=4,trm_flat-ff_matched,exact_match,-0.031249999999999986,0.029846033476589685,8,2,6,0.2890625
n_blocks=4,trm_flat-ff_matched,coherence_excess,-0.026564608054628375,0.026640507000718038,8,2,6,0.2890625
