config,arm,metric,mean,std,n_params
n_blocks=3,baseline,accuracy,0.5,0.0,0
n_blocks=3,baseline,exact_match,0.297125,0.009341726668173143,0
n_blocks=3,trm_mixer,accuracy,0.9321354166666667,0.009370111159154976,16842
n_blocks=3,trm_mixer,train_accuracy,0.99383984375,0.0032237326470164096,16842
n_blocks=3,trm_mixer,exact_match,0.79075,0.026863411122619123,16842
n_blocks=3,trm_mixer,coherence_excess,0.6011188733631753,0.023233637488586426,16842
n_blocks=3,trm_mixer,mean_wrong_per_row,1.6287500000000001,0.22488266781971947,16842
n_blocks=3,untied_mixer_matched,accuracy,0.9308854166666667,0.005474496697167851,17344
n_blocks=3,untied_mixer_matched,train_accuracy,0.9970130208333333,0.0009812343606579053,17344
n_blocks=3,untied_mixer_matched,exact_match,0.8126249999999999,0.015564956059779162,17344
n_blocks=3,untied_mixer_matched,coherence_excess,0.6318445643074465,0.012326668690232063,17344
n_blocks=3,untied_mixer_matched,mean_wrong_per_row,1.65875,0.13138792073202818,17344
n_blocks=3,untied_mixer,accuracy,0.9349010416666667,0.005904159210433152,123984
n_blocks=3,untied_mixer,train_accuracy,0.998953125,0.0010920834809505502,123984
n_blocks=3,untied_mixer,exact_match,0.825375,0.01343702241676223,123984
n_blocks=3,untied_mixer,coherence_excess,0.6246524272663384,0.01889206870718632,123984
n_blocks=3,untied_mixer,mean_wrong_per_row,1.562375,0.1416998210503961,123984
n_blocks=3,ff_matched,accuracy,0.8922760416666666,0.0070192103712676075,16103
n_blocks=3,ff_matched,train_accuracy,0.92785546875,0.004684044485266495,16103
n_blocks=3,ff_matched,exact_match,0.715,0.015184578643196821,16103
n_blocks=3,ff_matched,coherence_excess,0.6491928037305993,0.007279001205573799,16103
n_blocks=3,ff_matched,mean_wrong_per_row,2.585375,0.1684610489104232,16103
n_blocks=4,baseline,accuracy,0.5,0.0,0
n_blocks=4,baseline,exact_match,0.199625,0.012938729237669144,0
n_blocks=4,trm_mixer,accuracy,0.91537890625,0.0103454484133789,18130
n_blocks=4,trm_mixer,train_accuracy,0.989333984375,0.0038414939435681673,18130
n_blocks=4,trm_mixer,exact_match,0.69675,0.033998949563605205,18130
n_blocks=4,trm_mixer,coherence_excess,0.6345408104218387,0.014629080141057956,18130
n_blocks=4,trm_mixer,mean_wrong_per_row,2.707875,0.3310543492281246,18130
n_blocks=4,untied_mixer_matched,accuracy,0.8973359375000001,0.010966679826011617,17752
n_blocks=4,untied_mixer_matched,train_accuracy,0.994544921875,0.002181783626332303,17752
n_blocks=4,untied_mixer_matched,exact_match,0.6621250000000001,0.03093974558949795,17752
n_blocks=4,untied_mixer_matched,coherence_excess,0.6291920501190147,0.021839335015738856,17752
n_blocks=4,untied_mixer_matched,mean_wrong_per_row,3.28525,0.35093375443237157,17752
n_blocks=4,untied_mixer,accuracy,0.91509375,0.00876637498383128,130704
n_blocks=4,untied_mixer,train_accuracy,0.9985537109375,0.0011684357082845985,130704
n_blocks=4,untied_mixer,exact_match,0.72175,0.025330670286095015,130704
n_blocks=4,untied_mixer,coherence_excess,0.6609786072531144,0.008833632330074215,130704
n_blocks=4,untied_mixer,mean_wrong_per_row,2.717,0.2805239994826009,130704
n_blocks=4,ff_matched,accuracy,0.8637109375,0.007462083284309045,18688
n_blocks=4,ff_matched,train_accuracy,0.9146328125000001,0.00484983416851068,18688
n_blocks=4,ff_matched,exact_match,0.566875,0.021570068547476978,18688
n_blocks=4,ff_matched,coherence_excess,0.5573656246293843,0.019173936109107677,18688
n_blocks=4,ff_matched,mean_wrong_per_row,4.36125,0.23878666509788896,18688
