config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_blocks=3,trm_mixer-untied_mixer_matched,accuracy,0.0012500000000000289,0.01016564202486877,8,3,5,0.7265625
n_blocks=3,trm_mixer-untied_mixer_matched,exact_match,-0.021874999999999978,0.02928889355565154,8,1,7,0.0703125
n_blocks=3,trm_mixer-untied_mixer_matched,coherence_excess,-0.030725690944271272,0.026689834064788334,8,1,7,0.0703125
n_blocks=3,trm_mixer-untied_mixer,accuracy,-0.0027656249999999938,0.011561578953019564,8,3,5,0.7265625
n_blocks=3,trm_mixer-untied_mixer,exact_match,-0.034624999999999975,0.03026519689110153,8,0,8,0.0078125
n_blocks=3,trm_mixer-untied_mixer,coherence_excess,-0.023533553903163126,0.03314704605013451,8,2,6,0.2890625
n_blocks=3,trm_mixer-ff_matched,accuracy,0.03985937500000003,0.008470974529191214,8,8,0,0.0078125
n_blocks=3,trm_mixer-ff_matched,exact_match,0.07575000000000004,0.025041394301664376,8,8,0,0.0078125
n_blocks=3,trm_mixer-ff_matched,coherence_excess,-0.048073930367424064,0.0196904946944548,8,0,8,0.0078125
n_blocks=3,untied_mixer_matched-ff_matched,accuracy,0.038609375,0.007641584796648208,8,8,0,0.0078125
n_blocks=3,untied_mixer_matched-ff_matched,exact_match,0.09762500000000002,0.01999955356644599,8,8,0,0.0078125
n_blocks=3,untied_mixer_matched-ff_matched,coherence_excess,-0.017348239423152792,0.014846953891943402,8,0,8,0.0078125
n_blocks=4,trm_mixer-untied_mixer_matched,accuracy,0.01804296875,0.016348695283480527,8,7,1,0.0703125
n_blocks=4,trm_mixer-untied_mixer_matched,exact_match,0.03462499999999996,0.050216495582342535,8,7,1,0.0703125
n_blocks=4,trm_mixer-untied_mixer_matched,coherence_excess,0.005348760302823996,0.029540244269207625,8,4,4,1.0
n_blocks=4,trm_mixer-untied_mixer,accuracy,0.00028515625000000155,0.012236125952290294,8,6,2,0.2890625
n_blocks=4,trm_mixer-untied_mixer,exact_match,-0.02500000000000001,0.03847819419582248,8,2,6,0.2890625
n_blocks=4,trm_mixer-untied_mixer,coherence_excess,-0.026437796831275756,0.01646461061922578,8,0,8,0.0078125
n_blocks=4,trm_mixer-ff_matched,accuracy,0.05166796874999997,0.013088916571881336,8,8,0,0.0078125
n_blocks=4,trm_mixer-ff_matched,exact_match,0.12987499999999996,0.03942239211412718,8,8,0,0.0078125
n_blocks=4,trm_mixer-ff_matched,coherence_excess,0.07717518579245448,0.023850228653802867,8,8,0,0.0078125
n_blocks=4,untied_mixer_matched-ff_matched,accuracy,0.033624999999999974,0.011366792074000974,8,8,0,0.0078125
n_blocks=4,untied_mixer_matched-ff_matched,exact_match,0.09525000000000002,0.028499373426696357,8,8,0,0.0078125
n_blocks=4,untied_mixer_matched-ff_matched,coherence_excess,0.07182642548963049,0.02017635235463811,8,8,0,0.0078125
