config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
n_blocks=3,trm_mixer-ff_matched,accuracy,0.02697395833333334,0.006213981032144974,8,8,0,0.0078125
n_blocks=3,trm_mixer-ff_matched,exact_match,0.06737500000000005,0.01734471924576139,8,8,0,0.0078125
n_blocks=3,trm_mixer-ff_matched,coherence_excess,-0.22494092955614226,0.05355257751544117,8,0,8,0.0078125
n_blocks=3,trm_mixer-trm_flat,accuracy,0.019307291666666684,0.004140030187135957,8,8,0,0.0078125
n_blocks=3,trm_mixer-trm_flat,exact_match,0.03912500000000002,0.013994259026982645,8,8,0,0.0078125
n_blocks=3,trm_mixer-trm_flat,coherence_excess,-0.18888772711844634,0.04135392292952362,8,0,8,0.0078125
n_blocks=3,trm_flat-ff_matched,accuracy,0.007666666666666655,0.005206880749821072,8,8,0,0.0078125
n_blocks=3,trm_flat-ff_matched,exact_match,0.028250000000000025,0.013338986896633933,8,8,0,0.0078125
n_blocks=3,trm_flat-ff_matched,coherence_excess,-0.0360532024376959,0.03053930016835283,8,2,6,0.2890625
n_blocks=4,trm_mixer-ff_matched,accuracy,0.052398437500000006,0.009047042698297711,8,8,0,0.0078125
n_blocks=4,trm_mixer-ff_matched,exact_match,0.15662500000000001,0.028928174600452883,8,8,0,0.0078125
n_blocks=4,trm_mixer-ff_matched,coherence_excess,-0.2292164432865085,0.059998790106482645,8,0,8,0.0078125
n_blocks=4,trm_mixer-trm_flat,accuracy,0.04002343750000001,0.007202541520371737,8,8,0,0.0078125
n_blocks=4,trm_mixer-trm_flat,exact_match,0.109375,0.028086282874639823,8,8,0,0.0078125
n_blocks=4,trm_mixer-trm_flat,coherence_excess,-0.23583198339458677,0.056065031009648894,8,0,8,0.0078125
n_blocks=4,trm_flat-ff_matched,accuracy,0.012374999999999997,0.008965724041553231,8,8,0,0.0078125
n_blocks=4,trm_flat-ff_matched,exact_match,0.04725000000000003,0.02941209663678245,8,8,0,0.0078125
n_blocks=4,trm_flat-ff_matched,coherence_excess,0.006615540108078272,0.009122351810357648,8,6,2,0.2890625
