config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.5617708333333333,0.0006802923041219966,0
single,baseline,exact_match,0.02375,0.0018322507626258088,0
single,mixer_ds,accuracy,0.9945260416666666,0.0027635791632711604,16842
single,mixer_ds,train_accuracy,0.9969739583333334,0.001991619657245549,16842
single,mixer_ds,exact_match,0.933,0.03606739722875968,16842
single,mixer_ds,coherence_excess,0.05480766889323753,0.02431950635127298,16842
single,mixer_ds,mean_wrong_per_row,0.131375,0.06632589991850846,16842
single,mixer_nods,accuracy,0.9904895833333334,0.0033759735515307174,16842
single,mixer_nods,train_accuracy,0.9937643229166666,0.002500241416295033,16842
single,mixer_nods,exact_match,0.8580000000000001,0.04739198244429115,16842
single,mixer_nods,coherence_excess,0.060782594225394976,0.017443328616464734,16842
single,mixer_nods,mean_wrong_per_row,0.22825,0.08102336523673721,16842
single,mixer_nsup,accuracy,0.9885260416666666,0.014889589309032879,16842
single,mixer_nsup,train_accuracy,0.9906575520833334,0.01335313637923967,16842
single,mixer_nsup,exact_match,0.85325,0.18263761934497502,16842
single,mixer_nsup,coherence_excess,0.058397465094761986,0.05141634768582672,16842
single,mixer_nsup,mean_wrong_per_row,0.27537500000000004,0.35735014341678945,16842
single,mixer_nsup_nocarry,accuracy,0.9973125,0.0021793356713122355,16842
single,mixer_nsup_nocarry,train_accuracy,0.9988723958333332,0.0010093153362139633,16842
single,mixer_nsup_nocarry,exact_match,0.9650000000000001,0.02501428163498375,16842
single,mixer_nsup_nocarry,coherence_excess,0.02648445066751938,0.022979369096081784,16842
single,mixer_nsup_nocarry,mean_wrong_per_row,0.0645,0.05230405611149374,16842
single,flat_nods,accuracy,0.915921875,0.005922048085065289,16176
single,flat_nods,train_accuracy,0.93078515625,0.006101342028641841,16176
single,flat_nods,exact_match,0.24412499999999998,0.029705398739719252,16176
single,flat_nods,coherence_excess,0.1213917415359367,0.01598731464287084,16176
single,flat_nods,mean_wrong_per_row,2.017875,0.1421291540415668,16176
single,flat_nsup,accuracy,0.9721822916666667,0.002608930167149645,16176
single,flat_nsup,train_accuracy,0.9824309895833334,0.0026004195511759006,16176
single,flat_nsup,exact_match,0.624375,0.02189544962510967,16176
single,flat_nsup,coherence_excess,0.11539665407134894,0.017005585201806443,16176
single,flat_nsup,mean_wrong_per_row,0.6676249999999999,0.06261432401159156,16176
single,flat_nsup_nocarry,accuracy,0.9586406249999999,0.0027868150361362175,16176
single,flat_nsup_nocarry,train_accuracy,0.9749348958333333,0.0025399080933214643,16176
single,flat_nsup_nocarry,exact_match,0.49575,0.019403607911932255,16176
single,flat_nsup_nocarry,coherence_excess,0.1321681210136289,0.013477746981801268,16176
single,flat_nsup_nocarry,mean_wrong_per_row,0.992625,0.06688356086726925,16176
