config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,mixer_ds-mixer_nods,accuracy,0.00403645833333334,0.0021892637447433433,8,7,1,0.0703125
single,mixer_ds-mixer_nods,exact_match,0.07499999999999998,0.03130495168499706,8,8,0,0.0078125
single,mixer_ds-mixer_nods,coherence_excess,-0.005974925332157446,0.016249143389943935,8,3,5,0.7265625
single,mixer_nsup-mixer_nsup_nocarry,accuracy,-0.008786458333333358,0.014805358141980267,8,1,7,0.0703125
single,mixer_nsup-mixer_nsup_nocarry,exact_match,-0.11175,0.18137549842404682,8,1,7,0.0703125
single,mixer_nsup-mixer_nsup_nocarry,coherence_excess,0.031913014427242606,0.05205542145615368,8,6,2,0.2890625
single,mixer_nsup_nocarry-mixer_nods,accuracy,0.006822916666666692,0.001802190851458149,8,8,0,0.0078125
single,mixer_nsup_nocarry-mixer_nods,exact_match,0.10699999999999998,0.030682708019804463,8,8,0,0.0078125
single,mixer_nsup_nocarry-mixer_nods,coherence_excess,-0.034298143557875596,0.01023995580263364,8,0,8,0.0078125
single,mixer_nsup-mixer_nods,accuracy,-0.0019635416666666655,0.01453542193482569,8,5,3,0.7265625
single,mixer_nsup-mixer_nods,exact_match,-0.004750000000000018,0.17759484387624702,8,5,2,0.453125
single,mixer_nsup-mixer_nods,coherence_excess,-0.0023851291306329903,0.051264735122964714,8,3,5,0.7265625
single,flat_nsup-flat_nsup_nocarry,accuracy,0.013541666666666674,0.004133258927901738,8,8,0,0.0078125
single,flat_nsup-flat_nsup_nocarry,exact_match,0.128625,0.032381376922987266,8,8,0,0.0078125
single,flat_nsup-flat_nsup_nocarry,coherence_excess,-0.016771466942279975,0.019732650475161834,8,2,6,0.2890625
single,flat_nsup-flat_nods,accuracy,0.056260416666666674,0.007474584914418809,8,8,0,0.0078125
single,flat_nsup-flat_nods,exact_match,0.38025,0.03537452675099899,8,8,0,0.0078125
single,flat_nsup-flat_nods,coherence_excess,-0.0059950874645877394,0.016805988945980527,8,4,4,1.0
