config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,mixer_ds-mixer_nods,accuracy,-0.0008020833333333283,0.01080177982652094,8,3,5,0.7265625
single,mixer_ds-mixer_nods,exact_match,0.010249999999999995,0.03543908254213943,8,5,3,0.7265625
single,mixer_ds-mixer_nods,coherence_excess,0.011921906152619913,0.020428701908377055,8,6,2,0.2890625
single,mixer_nsup-mixer_nsup_nocarry,accuracy,0.001979166666666657,0.005317778656663869,8,5,3,0.7265625
single,mixer_nsup-mixer_nsup_nocarry,exact_match,-0.009375000000000008,0.01807079332593265,8,3,5,0.7265625
single,mixer_nsup-mixer_nsup_nocarry,coherence_excess,-0.023604675121234847,0.019554366151661423,8,1,7,0.0703125
single,mixer_nsup_nocarry-mixer_nods,accuracy,0.005973958333333335,0.004269559188567655,8,7,1,0.0703125
single,mixer_nsup_nocarry-mixer_nods,exact_match,0.04149999999999998,0.016945290116809942,8,8,0,0.0078125
single,mixer_nsup_nocarry-mixer_nods,coherence_excess,0.009977698261613724,0.018332260184512294,8,5,3,0.7265625
single,mixer_nsup-mixer_nods,accuracy,0.007953124999999991,0.008242163109777347,8,7,1,0.0703125
single,mixer_nsup-mixer_nods,exact_match,0.03212499999999997,0.027231481256600253,8,7,1,0.0703125
single,mixer_nsup-mixer_nods,coherence_excess,-0.013626976859621123,0.026861058163193226,8,2,6,0.2890625
single,flat_nsup-flat_nsup_nocarry,accuracy,0.01939583333333332,0.008643082608891786,8,8,0,0.0078125
single,flat_nsup-flat_nsup_nocarry,exact_match,0.03787499999999999,0.022376246972435475,8,7,0,0.015625
single,flat_nsup-flat_nsup_nocarry,coherence_excess,-0.03201223390744323,0.013655175023268845,8,0,8,0.0078125
single,flat_nsup-flat_nods,accuracy,0.05042187499999999,0.01258655425310162,8,8,0,0.0078125
single,flat_nsup-flat_nods,exact_match,0.13125,0.03202565935531779,8,8,0,0.0078125
single,flat_nsup-flat_nods,coherence_excess,0.0019408300919481203,0.015041034467501315,8,5,3,0.7265625
