config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
single,mixer_ds-mixer_nods,accuracy,0.19935937499999998,0.13170208033675765,8,6,2,0.2890625
single,mixer_ds-mixer_nods,exact_match,0.678125,0.4271428123506904,8,6,2,0.2890625
single,mixer_ds-mixer_nods,coherence_excess,0.002394275689498316,0.007752978431748197,8,4,4,1.0
single,mixer_nsup-mixer_nsup_nocarry,accuracy,0.05374479166666668,0.09651246022622494,8,8,0,0.0078125
single,mixer_nsup-mixer_nsup_nocarry,exact_match,0.27425,0.44951171921795957,8,8,0,0.0078125
single,mixer_nsup-mixer_nsup_nocarry,coherence_excess,-0.0018761203864216022,0.0043019418363227716,8,5,3,0.7265625
single,mixer_nsup_nocarry-mixer_nods,accuracy,0.18513020833333327,0.12204037810351462,8,8,0,0.0078125
single,mixer_nsup_nocarry-mixer_nods,exact_match,0.60625,0.4894859548546822,8,8,0,0.0078125
single,mixer_nsup_nocarry-mixer_nods,coherence_excess,0.001518521127263901,0.004924120744999022,8,3,5,0.7265625
single,mixer_nsup-mixer_nods,accuracy,0.23887499999999995,0.0958432500045182,8,8,0,0.0078125
single,mixer_nsup-mixer_nods,exact_match,0.8805000000000001,0.33275130138202097,8,8,0,0.0078125
single,mixer_nsup-mixer_nods,coherence_excess,-0.0003575992591577012,0.0014439644579932972,8,4,4,1.0
single,flat_nsup-flat_nsup_nocarry,accuracy,0.031682291666666654,0.016243602792989892,8,8,0,0.0078125
single,flat_nsup-flat_nsup_nocarry,exact_match,0.0,0.0,8,0,0,1.0
single,flat_nsup-flat_nsup_nocarry,coherence_excess,-8.79288075551026e-06,3.138836418903609e-06,8,0,8,0.0078125
single,flat_nsup-flat_nods,accuracy,0.06699479166666666,0.016373363202758433,8,8,0,0.0078125
single,flat_nsup-flat_nods,exact_match,0.0,0.0,8,0,0,1.0
single,flat_nsup-flat_nods,coherence_excess,-1.2286469295320514e-05,2.6749303728924806e-06,8,0,8,0.0078125
