sweep_param,sweep_value,arm,metric,mean,std,n_params
k,2,baseline,accuracy,0.508,0.012884098726725138,0
k,2,trm_ds,accuracy,1.0,0.0,9922
k,2,trm_nods,accuracy,1.0,0.0,9922
k,2,untied_stack,accuracy,1.0,0.0,39496
k,2,untied_matched,accuracy,1.0,0.0,9781
k,2,ff_matched,accuracy,1.0,0.0,9858
k,3,baseline,accuracy,0.5081999999999999,0.007918333157931667,0
k,3,trm_ds,accuracy,0.9776,0.05008792269599528,9922
k,3,trm_nods,accuracy,1.0,0.0,9922
k,3,untied_stack,accuracy,1.0,0.0,39496
k,3,untied_matched,accuracy,1.0,0.0,9781
k,3,ff_matched,accuracy,1.0,0.0,9858
k,4,baseline,accuracy,0.5132,0.007628892449104267,0
k,4,trm_ds,accuracy,0.9998000000000001,0.00044721359549995833,9922
k,4,trm_nods,accuracy,1.0,0.0,9922
k,4,untied_stack,accuracy,1.0,0.0,39496
k,4,untied_matched,accuracy,1.0,0.0,9781
k,4,ff_matched,accuracy,0.7632,0.24629494513692318,9858
