config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
single,trm_mixer-ff_matched,accuracy,0.11503554582595825,0.2193535260671457,10,8,2,0.109375,0,0.109375
single,trm_mixer-ff_matched,mse,-0.11503554582595825,0.2193535260671457,10,2,8,0.109375,0,0.109375
single,trm_mixer-ff_matched,mae,-0.07944932878017426,0.0808152537214631,10,2,8,0.109375,0,0.109375
single,trm_mixer-ff_matched,r2,0.12782451168112835,0.2340217354121622,10,8,2,0.109375,0,0.109375
single,trm_mixer-trm_flat,accuracy,0.031027722358703613,0.21444630040445137,10,7,3,0.34375,0,0.34375
single,trm_mixer-trm_flat,mse,-0.031027722358703613,0.21444630040445137,10,3,7,0.34375,0,0.34375
single,trm_mixer-trm_flat,mae,-0.04023481905460358,0.07686392560665241,10,2,8,0.109375,0,0.109375
single,trm_mixer-trm_flat,r2,0.037328538474071214,0.2159161523596397,10,7,3,0.34375,0,0.34375
single,trm_mixer-untied_mixer_matched,accuracy,0.025150346755981445,0.17594035085246418,10,8,2,0.109375,0,0.109375
single,trm_mixer-untied_mixer_matched,mse,-0.025150346755981445,0.17594035085246418,10,2,8,0.109375,0,0.109375
single,trm_mixer-untied_mixer_matched,mae,-0.01844387948513031,0.07522557998443188,10,3,7,0.34375,0,0.34375
single,trm_mixer-untied_mixer_matched,r2,0.02845192218280762,0.1737436230304253,10,8,2,0.109375,0,0.109375
single,trm_mixer-untied_mixer,accuracy,0.05302707552909851,0.23238293109053176,10,7,3,0.34375,0,0.34375
single,trm_mixer-untied_mixer,mse,-0.05302707552909851,0.23238293109053176,10,3,7,0.34375,0,0.34375
single,trm_mixer-untied_mixer,mae,-0.033497211337089536,0.0910053644379243,10,3,7,0.34375,0,0.34375
single,trm_mixer-untied_mixer,r2,0.06571697352441194,0.24160260039148432,10,7,3,0.34375,0,0.34375
single,untied_mixer_matched-ff_matched,accuracy,0.0898851990699768,0.11349548974927917,10,8,2,0.109375,0,0.109375
single,untied_mixer_matched-ff_matched,mse,-0.0898851990699768,0.11349548974927917,10,2,8,0.109375,0,0.109375
single,untied_mixer_matched-ff_matched,mae,-0.061005449295043944,0.052940064577775614,10,1,9,0.021484375,0,0.021484375
single,untied_mixer_matched-ff_matched,r2,0.09937258949832069,0.1330450913871183,10,8,2,0.109375,0,0.109375
single,trm_flat-ff_matched,accuracy,0.08400782346725463,0.09892807977339463,10,9,1,0.021484375,0,0.021484375
single,trm_flat-ff_matched,mse,-0.08400782346725463,0.09892807977339463,10,1,9,0.021484375,0,0.021484375
single,trm_flat-ff_matched,mae,-0.03921450972557068,0.03798688627290063,10,1,9,0.021484375,0,0.021484375
single,trm_flat-ff_matched,r2,0.09049597320705709,0.11159377166760526,10,9,1,0.021484375,0,0.021484375
single,trm_flat-trm_decoupled,accuracy,0.04191884994506836,0.07572326030606881,10,6,4,0.75390625,0,0.75390625
single,trm_flat-trm_decoupled,mse,-0.04191884994506836,0.07572326030606881,10,4,6,0.75390625,0,0.75390625
single,trm_flat-trm_decoupled,mae,-0.022612100839614867,0.032459573817642265,10,4,6,0.75390625,0,0.75390625
single,trm_flat-trm_decoupled,r2,0.04514114467432302,0.07834029901945426,10,6,4,0.75390625,0,0.75390625
