config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,accuracy,0.03394946306943893,0.03607419505257399,10,10,0,0.001953125,1,0.00390625
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,mse,-0.03394946306943893,0.03607419505257399,10,0,10,0.001953125,1,0.00390625
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,mae,-0.016996198892593385,0.02644919333968547,10,2,8,0.109375,0,0.109375
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,r2,0.0704874070772882,0.08813905738425043,10,10,0,0.001953125,0,0.001953125
single,trm_mixer-trm_mixer_unsharedro,accuracy,0.01641831696033478,0.07487693479150177,10,4,6,0.75390625,0,0.75390625
single,trm_mixer-trm_mixer_unsharedro,mse,-0.01641831696033478,0.07487693479150177,10,6,4,0.75390625,0,0.75390625
single,trm_mixer-trm_mixer_unsharedro,mae,-0.012078511714935302,0.03787265280468214,10,4,6,0.75390625,0,0.75390625
single,trm_mixer-trm_mixer_unsharedro,r2,0.011445833041252063,0.09514382904599436,10,4,6,0.75390625,0,0.75390625
single,trm_mixer-trm_mixer_nomix,accuracy,-0.13888055086135864,0.08802492743994109,10,1,9,0.021484375,0,0.021484375
single,trm_mixer-trm_mixer_nomix,mse,0.13888055086135864,0.08802492743994109,10,9,1,0.021484375,0,0.021484375
single,trm_mixer-trm_mixer_nomix,mae,0.07483220994472503,0.055438794307979794,10,9,1,0.021484375,0,0.021484375
single,trm_mixer-trm_mixer_nomix,r2,-0.241014832556968,0.16760667832844048,10,1,9,0.021484375,0,0.021484375
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,accuracy,-0.12134940475225449,0.11171647209354804,10,1,9,0.021484375,0,0.021484375
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,mse,0.12134940475225449,0.11171647209354804,10,9,1,0.021484375,0,0.021484375
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,mae,0.06991452276706696,0.08035237432290296,10,9,1,0.021484375,0,0.021484375
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,r2,-0.1819732585209318,0.19613817150969806,10,1,9,0.021484375,0,0.021484375
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,accuracy,0.03017534166574478,0.028804679252470773,10,9,1,0.021484375,0,0.021484375
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,mse,-0.03017534166574478,0.028804679252470773,10,1,9,0.021484375,0,0.021484375
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,mae,-0.014802667498588561,0.01536496196701887,10,2,8,0.109375,1,0.0390625
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,r2,0.05528410077663237,0.05807987321660037,10,9,1,0.021484375,0,0.021484375
single,trm_mixer_nomix-ff_matched,accuracy,0.5909246742725373,0.47511285863029235,10,10,0,0.001953125,0,0.001953125
single,trm_mixer_nomix-ff_matched,mse,-0.5909246742725373,0.47511285863029235,10,0,10,0.001953125,0,0.001953125
single,trm_mixer_nomix-ff_matched,mae,-0.2638662546873093,0.13604923623007492,10,0,10,0.001953125,0,0.001953125
single,trm_mixer_nomix-ff_matched,r2,0.8423538132678795,0.34914450352902504,10,10,0,0.001953125,0,0.001953125
single,trm_mixer_nomix_unsharedro-ff_matched,accuracy,0.5569752112030983,0.4873154784878057,10,10,0,0.001953125,0,0.001953125
single,trm_mixer_nomix_unsharedro-ff_matched,mse,-0.5569752112030983,0.4873154784878057,10,0,10,0.001953125,0,0.001953125
single,trm_mixer_nomix_unsharedro-ff_matched,mae,-0.24687005579471588,0.15060024325482796,10,0,10,0.001953125,0,0.001953125
single,trm_mixer_nomix_unsharedro-ff_matched,r2,0.7718664061905912,0.3791086702160449,10,10,0,0.001953125,0,0.001953125
single,trm_mixer-ff_matched,accuracy,0.4520441234111786,0.47524687488558526,10,9,1,0.021484375,0,0.021484375
single,trm_mixer-ff_matched,mse,-0.4520441234111786,0.47524687488558526,10,1,9,0.021484375,0,0.021484375
single,trm_mixer-ff_matched,mae,-0.18903404474258423,0.14776817391465966,10,1,9,0.021484375,0,0.021484375
single,trm_mixer-ff_matched,r2,0.6013389807109114,0.39292536608356626,10,9,1,0.021484375,0,0.021484375
single,trm_flat-ff_matched,accuracy,0.4240243941545486,0.4941932788884146,10,9,1,0.021484375,0,0.021484375
single,trm_flat-ff_matched,mse,-0.4240243941545486,0.4941932788884146,10,1,9,0.021484375,0,0.021484375
single,trm_flat-ff_matched,mae,-0.15153586864471436,0.1406577612310545,10,0,10,0.001953125,0,0.001953125
single,trm_flat-ff_matched,r2,0.5577706085455469,0.42488765987109606,10,9,1,0.021484375,0,0.021484375
