config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
single,trm_mixer-trm_mixer_nomix,accuracy,0.1340234375,0.04847976482674242,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_nomix,exact_match,0.740375,0.04489014368433228,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_nomix,coherence_excess,0.03851388270804722,0.11435801122475361,8,6,2,0.2890625,0,0.2890625
single,trm_mixer_nomix-ff_matched,accuracy,-0.09963671875,0.04131924294408235,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,exact_match,-0.26212500000000005,0.03548213836364914,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,coherence_excess,-0.03493637528795639,0.07723272962538204,8,2,6,0.2890625,0,0.2890625
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,accuracy,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,exact_match,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,coherence_excess,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer-trm_mixer_unsharedro,accuracy,0.008316406250000005,0.004487098242933985,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_unsharedro,exact_match,0.128,0.06817205124850337,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_unsharedro,coherence_excess,-0.043780271411764535,0.0274624408621278,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,accuracy,0.12570703125,0.04920742057106645,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,exact_match,0.612375,0.06629358404637876,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,coherence_excess,0.08229415411981174,0.11053236490716428,8,6,2,0.2890625,0,0.2890625
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,accuracy,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,exact_match,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,coherence_excess,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix_unsharedro-ff_matched,accuracy,-0.09963671875,0.04131924294408235,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix_unsharedro-ff_matched,exact_match,-0.26212500000000005,0.03548213836364914,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix_unsharedro-ff_matched,coherence_excess,-0.03493637528795639,0.07723272962538204,8,2,6,0.2890625,0,0.2890625
single,trm_mixer-ff_matched,accuracy,0.03438671875,0.008472874547466064,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,exact_match,0.47824999999999995,0.05746738205277839,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,coherence_excess,0.0035775074200908377,0.04703229192169601,8,5,3,0.7265625,0,0.7265625
single,trm_flat-ff_matched,accuracy,-0.008539062499999986,0.0028760067142716587,8,0,8,0.0078125,0,0.0078125
single,trm_flat-ff_matched,exact_match,-0.062250000000000014,0.05927598887528455,8,1,7,0.0703125,0,0.0703125
single,trm_flat-ff_matched,coherence_excess,0.004215250178869239,0.028704464178839647,8,3,5,0.7265625,0,0.7265625
