config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
single,trm_mixer-trm_mixer_nomix,accuracy,0.215390625,0.023644564812837898,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_nomix,exact_match,0.70575,0.05945166103650932,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_nomix,coherence_excess,0.13343441234905856,0.05415861514066018,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,accuracy,-0.16944270833333333,0.021538263495343383,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,exact_match,-0.25149999999999995,0.029203717962909163,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,coherence_excess,-0.07171498434516738,0.030647160607368763,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,accuracy,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,exact_match,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,coherence_excess,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer-trm_mixer_unsharedro,accuracy,0.004723958333333306,0.0051500278114135776,8,7,1,0.0703125,0,0.0703125
single,trm_mixer-trm_mixer_unsharedro,exact_match,0.07000000000000002,0.06893682408035431,8,7,1,0.0703125,0,0.0703125
single,trm_mixer-trm_mixer_unsharedro,coherence_excess,0.010499648732407857,0.01977019603216453,8,6,2,0.2890625,0,0.2890625
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,accuracy,0.2106666666666667,0.024768771941540906,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,exact_match,0.63575,0.08286779488179609,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,coherence_excess,0.1229347636166507,0.05262465458504248,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,accuracy,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,exact_match,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,coherence_excess,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix_unsharedro-ff_matched,accuracy,-0.16944270833333333,0.021538263495343383,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix_unsharedro-ff_matched,exact_match,-0.25149999999999995,0.029203717962909163,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix_unsharedro-ff_matched,coherence_excess,-0.07171498434516738,0.030647160607368763,8,0,8,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,accuracy,0.04594791666666667,0.003943974583573372,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,exact_match,0.45425,0.05387485498820393,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,coherence_excess,0.06171942800389119,0.03214204666022499,8,8,0,0.0078125,0,0.0078125
single,trm_flat-ff_matched,accuracy,-0.01711979166666666,0.0029228198275035168,8,0,8,0.0078125,0,0.0078125
single,trm_flat-ff_matched,exact_match,-0.041374999999999995,0.025309159832530424,8,1,7,0.0703125,0,0.0703125
single,trm_flat-ff_matched,coherence_excess,0.022307956546143176,0.01813981403199559,8,8,0,0.0078125,0,0.0078125
