config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
single,trm_mixer-trm_mixer_nomix,accuracy,0.24862109375000002,0.0068465205069769474,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_nomix,exact_match,0.879375,0.030373566985597414,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_nomix,coherence_excess,0.012508457650165394,0.005782392541807151,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,accuracy,-0.17917578125,0.0115488932667327,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,exact_match,-0.105,0.035055058734184755,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,coherence_excess,-0.01594795207993182,0.013169984718278162,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,accuracy,-0.0002968749999999881,0.0008396893026589915,8,0,1,1.0,7,1.0
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,exact_match,0.000125,0.0003535533905932738,8,1,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,coherence_excess,0.00012610537271055944,0.0003566798567507743,8,1,0,1.0,7,1.0
single,trm_mixer-trm_mixer_unsharedro,accuracy,0.00026171875000001454,0.002172457045595007,8,5,3,0.7265625,3,1.0
single,trm_mixer-trm_mixer_unsharedro,exact_match,0.002249999999999988,0.054925273911795074,8,5,3,0.7265625,0,0.7265625
single,trm_mixer-trm_mixer_unsharedro,coherence_excess,-0.004702213757827728,0.009251511558742367,8,2,6,0.2890625,0,0.2890625
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,accuracy,0.24806250000000002,0.005920205074573026,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,exact_match,0.8772500000000001,0.03281005943304583,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,coherence_excess,0.01733677678070368,0.012252816586940392,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,accuracy,-0.0002929687499999972,0.0008413387337780745,8,1,1,1.0,7,1.0
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,exact_match,0.000125,0.0003535533905932738,8,1,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,coherence_excess,0.00012609527805203583,0.00035668393672822233,8,1,1,1.0,7,1.0
single,trm_mixer_nomix_unsharedro-ff_matched,accuracy,-0.17887890625000002,0.011761646933494026,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix_unsharedro-ff_matched,exact_match,-0.105125,0.03492210720200846,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix_unsharedro-ff_matched,coherence_excess,-0.016074057452642378,0.013072869426923537,8,0,8,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,accuracy,0.06944531250000001,0.009672118405083975,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,exact_match,0.774375,0.06206664045316824,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,coherence_excess,-0.003439494429766427,0.012033423394434988,8,3,5,0.7265625,0,0.7265625
single,trm_flat-ff_matched,accuracy,0.04217968750000001,0.006831166064377829,8,8,0,0.0078125,0,0.0078125
single,trm_flat-ff_matched,exact_match,0.29625,0.03695847090219739,8,8,0,0.0078125,0,0.0078125
single,trm_flat-ff_matched,coherence_excess,0.025896668983969216,0.016105372534110957,8,7,1,0.0703125,1,0.015625
