config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
n_givens=24,trm_mixer-trm_mixer_nomix,accuracy,0.27670833333333333,0.0003684091592807616,6,6,0,0.03125,0,0.03125
n_givens=24,trm_mixer-trm_mixer_nomix,exact_match,0.9704999999999999,0.00840832920383117,6,6,0,0.03125,0,0.03125
n_givens=24,trm_mixer-trm_mixer_nomix,coherence_excess,0.0058193885395195965,0.0050168970977626775,6,6,0,0.03125,1,0.0625
n_givens=24,trm_mixer_nomix-ff_matched,accuracy,-0.15485185185185185,0.001367125788583747,6,0,6,0.03125,0,0.03125
n_givens=24,trm_mixer_nomix-ff_matched,exact_match,-0.008166666666666668,0.0014719601443879743,6,0,6,0.03125,0,0.03125
n_givens=24,trm_mixer_nomix-ff_matched,coherence_excess,0.0007570900932036229,0.0014511645139542605,6,4,2,0.6875,4,0.5
n_givens=24,trm_mixer_nomix-trm_mixer_nomix_unsharedro,accuracy,0.00039814814814816596,0.0005992965698223272,6,4,2,0.6875,5,1.0
n_givens=24,trm_mixer_nomix-trm_mixer_nomix_unsharedro,exact_match,0.0,0.0,6,0,0,1.0,6,1.0
n_givens=24,trm_mixer_nomix-trm_mixer_nomix_unsharedro,coherence_excess,-1.6001515496258788e-07,2.425663769629425e-07,6,2,4,0.6875,6,1.0
n_givens=24,trm_mixer-trm_mixer_unsharedro,accuracy,0.00017592592592593123,0.00028956473650202996,6,4,2,0.6875,6,1.0
n_givens=24,trm_mixer-trm_mixer_unsharedro,exact_match,0.006333333333333339,0.009831920802501759,6,4,2,0.6875,0,0.6875
n_givens=24,trm_mixer-trm_mixer_unsharedro,coherence_excess,0.0002608336905793318,0.004160356288131877,6,2,4,0.6875,2,0.625
n_givens=24,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,accuracy,0.2769305555555555,0.000692274387190851,6,6,0,0.03125,0,0.03125
n_givens=24,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,exact_match,0.9641666666666665,0.012335585379975566,6,6,0,0.03125,0,0.03125
n_givens=24,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,coherence_excess,0.005558394833785302,0.004231435066365441,6,6,0,0.03125,1,0.0625
