config,arm,n_params,ref_params,ratio,role,within_tol
n_givens=24,trm_mixer,121418,121048,1.0031,matched,True
n_givens=24,trm_mixer_nomix,121110,121048,1.0005,matched,True
n_givens=24,trm_mixer_unsharedro,121948,121048,1.0074,matched,True
n_givens=24,trm_mixer_nomix_unsharedro,121288,121048,1.0020,matched,True
n_givens=24,trm_mixer_nomix_distinctw,126128,121048,1.0420,matched,True
n_givens=24,trm_flat,121048,121048,1.0000,reference,True
n_givens=24,ff_matched,120552,121048,0.9959,matched,True
n_givens=18,trm_mixer,121418,121048,1.0031,matched,True
n_givens=18,trm_mixer_nomix,121110,121048,1.0005,matched,True
n_givens=18,trm_mixer_unsharedro,121948,121048,1.0074,matched,True
n_givens=18,trm_mixer_nomix_unsharedro,121288,121048,1.0020,matched,True
n_givens=18,trm_mixer_nomix_distinctw,126128,121048,1.0420,matched,True
n_givens=18,trm_flat,121048,121048,1.0000,reference,True
n_givens=18,ff_matched,120552,121048,0.9959,matched,True
n_givens=14,trm_mixer,121418,121048,1.0031,matched,True
n_givens=14,trm_mixer_nomix,121110,121048,1.0005,matched,True
n_givens=14,trm_mixer_unsharedro,121948,121048,1.0074,matched,True
n_givens=14,trm_mixer_nomix_unsharedro,121288,121048,1.0020,matched,True
n_givens=14,trm_mixer_nomix_distinctw,126128,121048,1.0420,matched,True
n_givens=14,trm_flat,121048,121048,1.0000,reference,True
n_givens=14,ff_matched,120552,121048,0.9959,matched,True
