config,arm,metric,mean,std,n_params
"rule=30, w=16, T=4",baseline,accuracy,0.504825,0.002352562137566436,0
"rule=30, w=16, T=4",trm_nods,accuracy,0.7065250000000001,0.009259154629038471,13792
"rule=30, w=16, T=4",trm_nods,train_accuracy,0.7581453125,0.008300233907608083,13792
"rule=30, w=16, T=4",trm_nods,exact_match,0.0039000000000000007,0.0019692073983655907,13792
"rule=30, w=16, T=4",ff_matched,accuracy,0.7526749999999999,0.007481388945614021,13703
"rule=30, w=16, T=4",ff_matched,train_accuracy,0.8020515625,0.006628856197226391,13703
"rule=30, w=16, T=4",ff_matched,exact_match,0.012199999999999999,0.004263540521418529,13703
"rule=30, w=16, T=4",untied_matched,accuracy,0.65776875,0.008693520595663334,13753
"rule=30, w=16, T=4",untied_matched,train_accuracy,0.6879828124999999,0.008368867760404974,13753
"rule=30, w=16, T=4",untied_matched,exact_match,0.001,0.0009428090415820634,13753
"rule=30, w=16, T=4",untied_stack,accuracy,0.77548125,0.015057587661393698,54976
"rule=30, w=16, T=4",untied_stack,train_accuracy,0.8392218750000001,0.014635946387210684,54976
"rule=30, w=16, T=4",untied_stack,exact_match,0.0165,0.006704061787039589,54976
"rule=30, w=16, T=8",baseline,accuracy,0.5024375,0.0022768460153856957,0
"rule=30, w=16, T=8",trm_nods,accuracy,0.5228375000000002,0.003202266992130542,13792
"rule=30, w=16, T=8",trm_nods,train_accuracy,0.616034375,0.0035730366233507195,13792
"rule=30, w=16, T=8",trm_nods,exact_match,0.0001,0.00031622776601683794,13792
"rule=30, w=16, T=8",ff_matched,accuracy,0.5251812499999999,0.005834259599078911,13703
"rule=30, w=16, T=8",ff_matched,train_accuracy,0.629865625,0.003212551339840497,13703
"rule=30, w=16, T=8",ff_matched,exact_match,0.0001,0.00031622776601683794,13703
"rule=30, w=16, T=8",untied_matched,accuracy,0.518,0.004590051893921116,14191
"rule=30, w=16, T=8",untied_matched,train_accuracy,0.5853609375,0.0070262731228864115,14191
"rule=30, w=16, T=8",untied_matched,exact_match,0.0001,0.00031622776601683794,14191
"rule=30, w=16, T=8",untied_stack,accuracy,0.52875625,0.005124784040165323,109888
"rule=30, w=16, T=8",untied_stack,train_accuracy,0.7660984375000001,0.004208552812449143,109888
"rule=30, w=16, T=8",untied_stack,exact_match,0.0002,0.00042163702135578394,109888
"rule=30, w=16, T=12",baseline,accuracy,0.5046062499999999,0.002721610085653966,0
"rule=30, w=16, T=12",trm_nods,accuracy,0.5025999999999999,0.002601615416962643,13792
"rule=30, w=16, T=12",trm_nods,train_accuracy,0.6014828124999999,0.003986382596070906,13792
"rule=30, w=16, T=12",trm_nods,exact_match,0.0001,0.00031622776601683794,13792
"rule=30, w=16, T=12",ff_matched,accuracy,0.5039187500000001,0.002180056781243192,13703
"rule=30, w=16, T=12",ff_matched,train_accuracy,0.6121921875,0.002458620767977274,13703
"rule=30, w=16, T=12",ff_matched,exact_match,0.0,0.0,13703
"rule=30, w=16, T=12",untied_matched,accuracy,0.5039562500000001,0.0032014333269993656,13114
"rule=30, w=16, T=12",untied_matched,train_accuracy,0.5614953125,0.00409648611119352,13114
"rule=30, w=16, T=12",untied_matched,exact_match,0.0,0.0,13114
"rule=30, w=16, T=12",untied_stack,accuracy,0.50585,0.0027237063697999834,164800
"rule=30, w=16, T=12",untied_stack,train_accuracy,0.7572203124999999,0.004350772762718444,164800
"rule=30, w=16, T=12",untied_stack,exact_match,0.0001,0.00031622776601683794,164800
"rule=30, w=16, T=16",baseline,accuracy,0.5031749999999999,0.002617847398149872,0
"rule=30, w=16, T=16",trm_nods,accuracy,0.5039812499999999,0.004072908674331446,13792
"rule=30, w=16, T=16",trm_nods,train_accuracy,0.5946140625,0.0033238883930540074,13792
"rule=30, w=16, T=16",trm_nods,exact_match,0.0,0.0,13792
"rule=30, w=16, T=16",ff_matched,accuracy,0.5059250000000001,0.004305781804091389,13703
"rule=30, w=16, T=16",ff_matched,train_accuracy,0.61173125,0.002566337742722544,13703
"rule=30, w=16, T=16",ff_matched,exact_match,0.0,0.0,13703
"rule=30, w=16, T=16",untied_matched,accuracy,0.50236875,0.0036858459096175697,13576
"rule=30, w=16, T=16",untied_matched,train_accuracy,0.55068125,0.004280047225612385,13576
"rule=30, w=16, T=16",untied_matched,exact_match,0.0,0.0,13576
"rule=30, w=16, T=16",untied_stack,accuracy,0.5066125,0.0030283383782750114,219712
"rule=30, w=16, T=16",untied_stack,train_accuracy,0.7537750000000001,0.005150150011299573,219712
"rule=30, w=16, T=16",untied_stack,exact_match,0.0,0.0,219712
"rule=30, w=20, T=4",baseline,accuracy,0.5036799999999999,0.0027899820787954813,0
"rule=30, w=20, T=4",trm_nods,accuracy,0.659405,0.010657742360473087,15080
"rule=30, w=20, T=4",trm_nods,train_accuracy,0.71527125,0.00729941267138818,15080
"rule=30, w=20, T=4",trm_nods,exact_match,0.00030000000000000003,0.0004830458915396479,15080
"rule=30, w=20, T=4",ff_matched,accuracy,0.695455,0.010747104261148674,15080
"rule=30, w=20, T=4",ff_matched,train_accuracy,0.752715,0.00683229616112574,15080
"rule=30, w=20, T=4",ff_matched,exact_match,0.0004,0.0005163977794943223,15080
"rule=30, w=20, T=4",untied_matched,accuracy,0.6195700000000001,0.007082027330582074,14968
"rule=30, w=20, T=4",untied_matched,train_accuracy,0.6552437500000001,0.006036794731063815,14968
"rule=30, w=20, T=4",untied_matched,exact_match,0.0,0.0,14968
"rule=30, w=20, T=4",untied_stack,accuracy,0.7186049999999999,0.023956737048270966,60128
"rule=30, w=20, T=4",untied_stack,train_accuracy,0.79553,0.020797900034218195,60128
"rule=30, w=20, T=4",untied_stack,exact_match,0.0012000000000000001,0.0013984117975602021,60128
"rule=30, w=20, T=8",baseline,accuracy,0.5029250000000001,0.0023014789930728414,0
"rule=30, w=20, T=8",trm_nods,accuracy,0.512835,0.0030921091327585732,15080
"rule=30, w=20, T=8",trm_nods,train_accuracy,0.61555125,0.0027183497470381355,15080
"rule=30, w=20, T=8",trm_nods,exact_match,0.0,0.0,15080
"rule=30, w=20, T=8",ff_matched,accuracy,0.515225,0.004356747640155437,15080
"rule=30, w=20, T=8",ff_matched,train_accuracy,0.6317112500000001,0.002220778220079121,15080
"rule=30, w=20, T=8",ff_matched,exact_match,0.0,0.0,15080
"rule=30, w=20, T=8",untied_matched,accuracy,0.5115750000000001,0.003318487774741861,15342
"rule=30, w=20, T=8",untied_matched,train_accuracy,0.5792925,0.0044720396788142285,15342
"rule=30, w=20, T=8",untied_matched,exact_match,0.0,0.0,15342
"rule=30, w=20, T=8",untied_stack,accuracy,0.5159400000000001,0.003383768444927769,120192
"rule=30, w=20, T=8",untied_stack,train_accuracy,0.7614775,0.004949915122729095,120192
"rule=30, w=20, T=8",untied_stack,exact_match,0.0,0.0,120192
"rule=30, w=20, T=12",baseline,accuracy,0.503415,0.0021333398437400762,0
"rule=30, w=20, T=12",trm_nods,accuracy,0.501245,0.0030509060584976728,15080
"rule=30, w=20, T=12",trm_nods,train_accuracy,0.6000224999999999,0.0030083090950085395,15080
"rule=30, w=20, T=12",trm_nods,exact_match,0.0,0.0,15080
"rule=30, w=20, T=12",ff_matched,accuracy,0.50116,0.004250934537774556,15080
"rule=30, w=20, T=12",ff_matched,train_accuracy,0.62097875,0.002136943966015226,15080
"rule=30, w=20, T=12",ff_matched,exact_match,0.0,0.0,15080
"rule=30, w=20, T=12",untied_matched,accuracy,0.5024650000000002,0.003038004644865159,15610
"rule=30, w=20, T=12",untied_matched,train_accuracy,0.5620975,0.004581370034049734,15610
"rule=30, w=20, T=12",untied_matched,exact_match,0.0,0.0,15610
"rule=30, w=20, T=12",untied_stack,accuracy,0.5021199999999999,0.004691967130698534,180256
"rule=30, w=20, T=12",untied_stack,train_accuracy,0.7529312499999999,0.002616754576548751,180256
"rule=30, w=20, T=12",untied_stack,exact_match,0.0,0.0,180256
"rule=30, w=20, T=16",baseline,accuracy,0.5042000000000001,0.0018730545462781677,0
"rule=30, w=20, T=16",trm_nods,accuracy,0.5020950000000001,0.0035119201775287243,15080
"rule=30, w=20, T=16",trm_nods,train_accuracy,0.5999537499999998,0.0023111899442350725,15080
"rule=30, w=20, T=16",trm_nods,exact_match,0.0,0.0,15080
"rule=30, w=20, T=16",ff_matched,accuracy,0.50197,0.004517201690328988,15080
"rule=30, w=20, T=16",ff_matched,train_accuracy,0.61975125,0.0017878199985519286,15080
"rule=30, w=20, T=16",ff_matched,exact_match,0.0,0.0,15080
"rule=30, w=20, T=16",untied_matched,accuracy,0.49970499999999995,0.003646341393171463,14087
"rule=30, w=20, T=16",untied_matched,train_accuracy,0.5499825,0.003401568265766048,14087
"rule=30, w=20, T=16",untied_matched,exact_match,0.0,0.0,14087
"rule=30, w=20, T=16",untied_stack,accuracy,0.500765,0.004956480045803116,240320
"rule=30, w=20, T=16",untied_stack,train_accuracy,0.75385625,0.004041869625488238,240320
"rule=30, w=20, T=16",untied_stack,exact_match,0.0,0.0,240320
"rule=110, w=16, T=4",baseline,accuracy,0.5328687499999999,0.005597575895222661,0
"rule=110, w=16, T=4",trm_nods,accuracy,0.74826875,0.0062717019055171,13792
"rule=110, w=16, T=4",trm_nods,train_accuracy,0.795875,0.003975749787339223,13792
"rule=110, w=16, T=4",trm_nods,exact_match,0.0103,0.0027507574714370343,13792
"rule=110, w=16, T=4",ff_matched,accuracy,0.7512812500000001,0.010741406852947862,13703
"rule=110, w=16, T=4",ff_matched,train_accuracy,0.8037890624999999,0.008760702315249808,13703
"rule=110, w=16, T=4",ff_matched,exact_match,0.014199999999999999,0.004917090377222873,13703
"rule=110, w=16, T=4",untied_matched,accuracy,0.68279375,0.00973177828973492,13753
"rule=110, w=16, T=4",untied_matched,train_accuracy,0.709634375,0.013040475185189967,13753
"rule=110, w=16, T=4",untied_matched,exact_match,0.0021999999999999997,0.0020439612955674524,13753
"rule=110, w=16, T=4",untied_stack,accuracy,0.80268125,0.01991968356683353,54976
"rule=110, w=16, T=4",untied_stack,train_accuracy,0.8594328125,0.020275174105401424,54976
"rule=110, w=16, T=4",untied_stack,exact_match,0.0329,0.01794714461968811,54976
"rule=110, w=16, T=8",baseline,accuracy,0.5422750000000001,0.0030174837751565887,0
"rule=110, w=16, T=8",trm_nods,accuracy,0.5565875,0.005236938116240563,13792
"rule=110, w=16, T=8",trm_nods,train_accuracy,0.6431156249999999,0.005025257386995763,13792
"rule=110, w=16, T=8",trm_nods,exact_match,0.00030000000000000003,0.000674948557710553,13792
"rule=110, w=16, T=8",ff_matched,accuracy,0.5672062499999999,0.005064090113787022,13703
"rule=110, w=16, T=8",ff_matched,train_accuracy,0.6582703125,0.003793605345150813,13703
"rule=110, w=16, T=8",ff_matched,exact_match,0.0004,0.0005163977794943223,13703
"rule=110, w=16, T=8",untied_matched,accuracy,0.54389375,0.002955845491470155,14191
"rule=110, w=16, T=8",untied_matched,train_accuracy,0.6057140624999999,0.005229498920802411,14191
"rule=110, w=16, T=8",untied_matched,exact_match,0.00030000000000000003,0.0004830458915396479,14191
"rule=110, w=16, T=8",untied_stack,accuracy,0.5563374999999999,0.0051320412334881,109888
