config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=30, w=16, T=4",trm_nods-ff_matched,accuracy,-0.046150000000000004,0.011824167518265292,10,0,10,0.001953125
"rule=30, w=16, T=4",trm_nods-ff_matched,exact_match,-0.0083,0.005437523946307425,10,0,9,0.00390625
"rule=30, w=16, T=4",trm_nods-untied_matched,accuracy,0.04875624999999999,0.01620644403084776,10,10,0,0.001953125
"rule=30, w=16, T=4",trm_nods-untied_matched,exact_match,0.0029000000000000002,0.0024244128727957575,10,9,1,0.021484375
"rule=30, w=16, T=4",untied_matched-ff_matched,accuracy,-0.09490625,0.012559416080840212,10,0,10,0.001953125
"rule=30, w=16, T=4",untied_matched-ff_matched,exact_match,-0.011199999999999998,0.004184627953726724,10,0,10,0.001953125
"rule=30, w=16, T=4",trm_nods-untied_stack,accuracy,-0.06895625000000001,0.018678406139250137,10,0,10,0.001953125
"rule=30, w=16, T=4",trm_nods-untied_stack,exact_match,-0.0126,0.007545418035691153,10,0,10,0.001953125
"rule=30, w=16, T=8",trm_nods-ff_matched,accuracy,-0.002343749999999989,0.005117308761285883,10,4,6,0.75390625
"rule=30, w=16, T=8",trm_nods-ff_matched,exact_match,0.0,0.0004714045207910317,10,1,1,1.0
"rule=30, w=16, T=8",trm_nods-untied_matched,accuracy,0.004837500000000006,0.006917432186552707,10,7,2,0.1796875
"rule=30, w=16, T=8",trm_nods-untied_matched,exact_match,0.0,0.0004714045207910317,10,1,1,1.0
"rule=30, w=16, T=8",untied_matched-ff_matched,accuracy,-0.007181249999999995,0.008542248455796353,10,3,7,0.34375
"rule=30, w=16, T=8",untied_matched-ff_matched,exact_match,0.0,0.0004714045207910317,10,1,1,1.0
"rule=30, w=16, T=8",trm_nods-untied_stack,accuracy,-0.005918749999999984,0.0060580990612659055,10,2,8,0.109375
"rule=30, w=16, T=8",trm_nods-untied_stack,exact_match,-0.0001,0.0005676462121975467,10,1,2,1.0
"rule=30, w=16, T=12",trm_nods-ff_matched,accuracy,-0.001318750000000013,0.0034485869187409327,10,4,6,0.75390625
"rule=30, w=16, T=12",trm_nods-ff_matched,exact_match,0.0001,0.00031622776601683794,10,1,0,1.0
"rule=30, w=16, T=12",trm_nods-untied_matched,accuracy,-0.0013562499999999976,0.004739942751939785,10,3,7,0.34375
"rule=30, w=16, T=12",trm_nods-untied_matched,exact_match,0.0001,0.00031622776601683794,10,1,0,1.0
"rule=30, w=16, T=12",untied_matched-ff_matched,accuracy,3.749999999998477e-05,0.004107094979017013,10,5,5,1.0
"rule=30, w=16, T=12",untied_matched-ff_matched,exact_match,0.0,0.0,10,0,0,1.0
"rule=30, w=16, T=12",trm_nods-untied_stack,accuracy,-0.0032499999999999972,0.0041893134547587125,10,3,7,0.34375
