config,arm,n_params,ref_params,ratio,role,within_tol
"rule=30, w=16, T=4",trm_nods,13792,13792,1.0000,reference,True
"rule=30, w=16, T=4",ff_matched,13703,13792,0.9935,matched,True
"rule=30, w=16, T=4",untied_matched,13753,13792,0.9972,matched,True
"rule=30, w=16, T=4",untied_stack,54976,13792,3.9861,ceiling,True
"rule=30, w=16, T=8",trm_nods,13792,13792,1.0000,reference,True
"rule=30, w=16, T=8",ff_matched,13703,13792,0.9935,matched,True
"rule=30, w=16, T=8",untied_matched,14191,13792,1.0289,matched,False
"rule=30, w=16, T=8",untied_stack,109888,13792,7.9675,ceiling,True
"rule=30, w=16, T=12",trm_nods,13792,13792,1.0000,reference,True
"rule=30, w=16, T=12",ff_matched,13703,13792,0.9935,matched,True
"rule=30, w=16, T=12",untied_matched,13114,13792,0.9508,matched,False
"rule=30, w=16, T=12",untied_stack,164800,13792,11.9490,ceiling,True
"rule=30, w=16, T=16",trm_nods,13792,13792,1.0000,reference,True
"rule=30, w=16, T=16",ff_matched,13703,13792,0.9935,matched,True
"rule=30, w=16, T=16",untied_matched,13576,13792,0.9843,matched,True
"rule=30, w=16, T=16",untied_stack,219712,13792,15.9304,ceiling,True
"rule=30, w=20, T=4",trm_nods,15080,15080,1.0000,reference,True
"rule=30, w=20, T=4",ff_matched,15080,15080,1.0000,matched,True
"rule=30, w=20, T=4",untied_matched,14968,15080,0.9926,matched,True
"rule=30, w=20, T=4",untied_stack,60128,15080,3.9873,ceiling,True
"rule=30, w=20, T=8",trm_nods,15080,15080,1.0000,reference,True
"rule=30, w=20, T=8",ff_matched,15080,15080,1.0000,matched,True
"rule=30, w=20, T=8",untied_matched,15342,15080,1.0174,matched,True
"rule=30, w=20, T=8",untied_stack,120192,15080,7.9703,ceiling,True
"rule=30, w=20, T=12",trm_nods,15080,15080,1.0000,reference,True
"rule=30, w=20, T=12",ff_matched,15080,15080,1.0000,matched,True
"rule=30, w=20, T=12",untied_matched,15610,15080,1.0351,matched,False
"rule=30, w=20, T=12",untied_stack,180256,15080,11.9533,ceiling,True
"rule=30, w=20, T=16",trm_nods,15080,15080,1.0000,reference,True
"rule=30, w=20, T=16",ff_matched,15080,15080,1.0000,matched,True
"rule=30, w=20, T=16",untied_matched,14087,15080,0.9342,matched,False
"rule=30, w=20, T=16",untied_stack,240320,15080,15.9363,ceiling,True
"rule=110, w=16, T=4",trm_nods,13792,13792,1.0000,reference,True
"rule=110, w=16, T=4",ff_matched,13703,13792,0.9935,matched,True
"rule=110, w=16, T=4",untied_matched,13753,13792,0.9972,matched,True
"rule=110, w=16, T=4",untied_stack,54976,13792,3.9861,ceiling,True
"rule=110, w=16, T=8",trm_nods,13792,13792,1.0000,reference,True
"rule=110, w=16, T=8",ff_matched,13703,13792,0.9935,matched,True
"rule=110, w=16, T=8",untied_matched,14191,13792,1.0289,matched,False
"rule=110, w=16, T=8",untied_stack,109888,13792,7.9675,ceiling,True
"rule=110, w=16, T=12",trm_nods,13792,13792,1.0000,reference,True
"rule=110, w=16, T=12",ff_matched,13703,13792,0.9935,matched,True
"rule=110, w=16, T=12",untied_matched,13114,13792,0.9508,matched,False
"rule=110, w=16, T=12",untied_stack,164800,13792,11.9490,ceiling,True
"rule=110, w=16, T=16",trm_nods,13792,13792,1.0000,reference,True
"rule=110, w=16, T=16",ff_matched,13703,13792,0.9935,matched,True
"rule=110, w=16, T=16",untied_matched,13576,13792,0.9843,matched,True
"rule=110, w=16, T=16",untied_stack,219712,13792,15.9304,ceiling,True
"rule=110, w=20, T=4",trm_nods,15080,15080,1.0000,reference,True
"rule=110, w=20, T=4",ff_matched,15080,15080,1.0000,matched,True
"rule=110, w=20, T=4",untied_matched,14968,15080,0.9926,matched,True
"rule=110, w=20, T=4",untied_stack,60128,15080,3.9873,ceiling,True
"rule=110, w=20, T=8",trm_nods,15080,15080,1.0000,reference,True
"rule=110, w=20, T=8",ff_matched,15080,15080,1.0000,matched,True
"rule=110, w=20, T=8",untied_matched,15342,15080,1.0174,matched,True
"rule=110, w=20, T=8",untied_stack,120192,15080,7.9703,ceiling,True
"rule=110, w=20, T=12",trm_nods,15080,15080,1.0000,reference,True
"rule=110, w=20, T=12",ff_matched,15080,15080,1.0000,matched,True
"rule=110, w=20, T=12",untied_matched,15610,15080,1.0351,matched,False
"rule=110, w=20, T=12",untied_stack,180256,15080,11.9533,ceiling,True
"rule=110, w=20, T=16",trm_nods,15080,15080,1.0000,reference,True
"rule=110, w=20, T=16",ff_matched,15080,15080,1.0000,matched,True
"rule=110, w=20, T=16",untied_matched,14087,15080,0.9342,matched,False
"rule=110, w=20, T=16",untied_stack,240320,15080,15.9363,ceiling,True
