T_test,R_test,arm,metric,mean,std
4,0,baseline,accuracy,0.5046888888888889,0.003956484840209722
4,4,trm_stepDS,accuracy,0.8384666666666666,0.02429763998091123
4,4,trm_stepDS,exact_match,0.28490000000000004,0.06888226670679956
4,4,trm_finalDS,accuracy,0.628,0.01358083051495727
4,4,trm_finalDS,exact_match,0.0237,0.01075019379670277
4,4,trm_nods,accuracy,0.6762333333333332,0.01865832044452821
4,4,trm_nods,exact_match,0.046,0.016013882865952414
4,4,ff_matched,accuracy,0.5166111111111112,0.008767731397265503
4,4,ff_matched,exact_match,0.0039000000000000007,0.0026436506745197803
4,4,untied_matched,accuracy,0.5032777777777777,0.00947558410344759
4,4,untied_matched,exact_match,0.0007,0.0009486832980505138
4,8,trm_stepDS,accuracy,0.49110000000000004,0.014225544557935966
4,8,trm_stepDS,exact_match,0.0021000000000000003,0.002424412872795758
4,8,trm_finalDS,accuracy,0.498388888888889,0.009513292988456995
4,8,trm_finalDS,exact_match,0.0023,0.0021108186931983416
4,8,trm_nods,accuracy,0.4898444444444444,0.010458251971221225
4,8,trm_nods,exact_match,0.0013000000000000002,0.0013374935098492587
4,8,ff_matched,accuracy,0.5166111111111112,0.008767731397265503
4,8,ff_matched,exact_match,0.0039000000000000007,0.0026436506745197803
4,8,untied_matched,accuracy,0.5032777777777777,0.00947558410344759
4,8,untied_matched,exact_match,0.0007,0.0009486832980505138
4,12,trm_stepDS,accuracy,0.4985666666666667,0.006672518008266788
4,12,trm_stepDS,exact_match,0.0025,0.00190029237516523
4,12,trm_finalDS,accuracy,0.47136666666666677,0.009211141640182323
4,12,trm_finalDS,exact_match,0.0018000000000000002,0.0018135294011647257
4,12,trm_nods,accuracy,0.46673333333333333,0.009046928405831831
4,12,trm_nods,exact_match,0.0006000000000000001,0.00107496769977314
4,12,ff_matched,accuracy,0.5166111111111112,0.008767731397265503
4,12,ff_matched,exact_match,0.0039000000000000007,0.0026436506745197803
4,12,untied_matched,accuracy,0.5032777777777777,0.00947558410344759
4,12,untied_matched,exact_match,0.0007,0.0009486832980505138
4,16,trm_stepDS,accuracy,0.5000666666666667,0.005188147302070702
4,16,trm_stepDS,exact_match,0.0018,0.0012292725943057184
4,16,trm_finalDS,accuracy,0.5205444444444445,0.013696940272904237
4,16,trm_finalDS,exact_match,0.0036000000000000003,0.0025473297566057066
4,16,trm_nods,accuracy,0.5265555555555556,0.010333665201095896
4,16,trm_nods,exact_match,0.0036000000000000003,0.0032041639575194434
4,16,ff_matched,accuracy,0.5166111111111112,0.008767731397265503
4,16,ff_matched,exact_match,0.0039000000000000007,0.0026436506745197803
4,16,untied_matched,accuracy,0.5032777777777777,0.00947558410344759
4,16,untied_matched,exact_match,0.0007,0.0009486832980505138
8,0,baseline,accuracy,0.5075,0.006323741925012142
8,4,trm_stepDS,accuracy,0.48263333333333336,0.007852908733901754
8,4,trm_stepDS,exact_match,0.0034000000000000002,0.0036575644598253873
8,4,trm_finalDS,accuracy,0.5269,0.01108372551055896
8,4,trm_finalDS,exact_match,0.009699999999999999,0.0037133393177689656
8,4,trm_nods,accuracy,0.5088666666666667,0.007058991095135834
8,4,trm_nods,exact_match,0.0033,0.0024966644414765337
8,4,ff_matched,accuracy,0.5426444444444444,0.004502338974513877
8,4,ff_matched,exact_match,0.0038000000000000004,0.0026583202716502514
8,4,untied_matched,accuracy,0.5921777777777779,0.006734266324962812
8,4,untied_matched,exact_match,0.0068000000000000005,0.0019321835661585919
8,8,trm_stepDS,accuracy,0.5817777777777778,0.017158344300937663
8,8,trm_stepDS,exact_match,0.017300000000000003,0.006201254353399444
