config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.5075,0.006323741925012142,0
single,trm_stepDS,accuracy,0.5817777777777778,0.017158344300937663,11538
single,trm_stepDS,train_accuracy,0.5927555555555555,0.01678102637995911,11538
single,trm_stepDS,exact_match,0.017300000000000003,0.006201254353399444,11538
single,trm_finalDS,accuracy,0.6291555555555555,0.010481703963088328,11538
single,trm_finalDS,train_accuracy,0.6421777777777777,0.007934101442913826,11538
single,trm_finalDS,exact_match,0.033900000000000007,0.010038260141412288,11538
single,trm_nods,accuracy,0.6459444444444444,0.011413208000927173,11538
single,trm_nods,train_accuracy,0.6565749999999999,0.009032795851320483,11538
single,trm_nods,exact_match,0.0371,0.010556198810809377,11538
single,ff_matched,accuracy,0.5426444444444444,0.004502338974513877,11518
single,ff_matched,train_accuracy,0.5517194444444444,0.00487178633831577,11518
single,ff_matched,exact_match,0.0038000000000000004,0.0026583202716502514,11518
single,untied_matched,accuracy,0.5921777777777779,0.006734266324962812,11721
single,untied_matched,train_accuracy,0.6034555555555556,0.004643907612663295,11721
single,untied_matched,exact_match,0.0068000000000000005,0.0019321835661585919,11721
