T_test,R_test,delta,delta_mean,delta_std,sign_pos,sign_neg,sign_p
4,4,trm_stepDS-trm_nods,0.1622333333333333,0.023059739319936576,10,0,0.001953125
4,4,trm_stepDS-trm_finalDS,0.21046666666666666,0.026272018004735637,10,0,0.001953125
4,4,trm_finalDS-trm_nods,-0.048233333333333364,0.01486587958572714,0,10,0.001953125
4,4,trm_stepDS-ff_matched,0.32185555555555556,0.023815134494715184,10,0,0.001953125
4,4,trm_stepDS-untied_matched,0.33518888888888887,0.02571235045083291,10,0,0.001953125
4,8,trm_stepDS-trm_nods,0.0012555555555555486,0.018166434475806906,5,5,1.0
4,8,trm_stepDS-trm_finalDS,-0.007288888888888895,0.01617634303772252,4,6,0.75390625
4,8,trm_finalDS-trm_nods,0.008544444444444443,0.01419397754782844,9,1,0.021484375
4,8,trm_stepDS-ff_matched,-0.025511111111111113,0.01850875298068085,1,9,0.021484375
4,8,trm_stepDS-untied_matched,-0.012177777777777782,0.014303797686554697,1,9,0.021484375
4,12,trm_stepDS-trm_nods,0.03183333333333334,0.008138925757300729,10,0,0.001953125
4,12,trm_stepDS-trm_finalDS,0.02719999999999999,0.008416751211733629,10,0,0.001953125
4,12,trm_finalDS-trm_nods,0.004633333333333345,0.006460611903901952,6,4,0.75390625
4,12,trm_stepDS-ff_matched,-0.018044444444444436,0.012434431597915395,0,10,0.001953125
4,12,trm_stepDS-untied_matched,-0.004711111111111105,0.013566500337702944,4,6,0.75390625
4,16,trm_stepDS-trm_nods,-0.026488888888888885,0.013608901307136432,0,10,0.001953125
4,16,trm_stepDS-trm_finalDS,-0.020477777777777772,0.013264746433399562,1,9,0.021484375
4,16,trm_finalDS-trm_nods,-0.006011111111111111,0.012453088928788427,3,7,0.34375
4,16,trm_stepDS-ff_matched,-0.016544444444444428,0.01053095899686681,1,9,0.021484375
4,16,trm_stepDS-untied_matched,-0.0032111111111110978,0.010051915990952336,4,6,0.75390625
8,4,trm_stepDS-trm_nods,-0.026233333333333324,0.009782188960068184,0,10,0.001953125
8,4,trm_stepDS-trm_finalDS,-0.04426666666666666,0.013410701457427458,0,10,0.001953125
8,4,trm_finalDS-trm_nods,0.01803333333333334,0.010966472161082966,10,0,0.001953125
8,4,trm_stepDS-ff_matched,-0.060011111111111105,0.008656602260044895,0,10,0.001953125
8,4,trm_stepDS-untied_matched,-0.10954444444444442,0.011502066373665106,0,10,0.001953125
8,8,trm_stepDS-trm_nods,-0.06416666666666666,0.013173241573462936,0,10,0.001953125
8,8,trm_stepDS-trm_finalDS,-0.047377777777777776,0.017604261237479456,0,10,0.001953125
8,8,trm_finalDS-trm_nods,-0.016788888888888888,0.007916479313355988,0,10,0.001953125
8,8,trm_stepDS-ff_matched,0.03913333333333335,0.019819404106822185,10,0,0.001953125
8,8,trm_stepDS-untied_matched,-0.010399999999999975,0.014928838976831374,4,6,0.75390625
8,12,trm_stepDS-trm_nods,-0.014500000000000018,0.016022039861293334,1,9,0.021484375
8,12,trm_stepDS-trm_finalDS,-0.008377777777777784,0.020219590114960516,4,6,0.75390625
8,12,trm_finalDS-trm_nods,-0.006122222222222235,0.01605976919376263,4,6,0.75390625
8,12,trm_stepDS-ff_matched,-0.043777777777777784,0.009232256923484883,0,10,0.001953125
8,12,trm_stepDS-untied_matched,-0.09331111111111112,0.01002613867798183,0,10,0.001953125
8,16,trm_stepDS-trm_nods,0.017755555555555563,0.017340201235140594,8,2,0.109375
8,16,trm_stepDS-trm_finalDS,0.014122222222222225,0.014531121702827584,9,1,0.021484375
8,16,trm_finalDS-trm_nods,0.0036333333333333382,0.012979465685938522,5,5,1.0
8,16,trm_stepDS-ff_matched,-0.04518888888888888,0.006283876639793533,0,10,0.001953125
8,16,trm_stepDS-untied_matched,-0.09472222222222222,0.0075381517057264025,0,10,0.001953125
12,4,trm_stepDS-trm_nods,-0.0003888888888889053,0.007178356816456119,5,5,1.0
12,4,trm_stepDS-trm_finalDS,-0.009200000000000009,0.007424757458639041,1,9,0.021484375
12,4,trm_finalDS-trm_nods,0.008811111111111103,0.011073522840238277,8,2,0.109375
12,4,trm_stepDS-ff_matched,-0.030877777777777782,0.006893357769933837,0,10,0.001953125
12,4,trm_stepDS-untied_matched,-0.03472222222222223,0.01199739912372186,0,10,0.001953125
12,8,trm_stepDS-trm_nods,0.0012111111111111016,0.01290106385379403,7,3,0.34375
12,8,trm_stepDS-trm_finalDS,-0.007044444444444453,0.011558783974469368,3,7,0.34375
12,8,trm_finalDS-trm_nods,0.008255555555555554,0.010972849646071049,8,2,0.109375
12,8,trm_stepDS-ff_matched,-0.02153333333333334,0.007539343536424074,0,10,0.001953125
12,8,trm_stepDS-untied_matched,-0.025377777777777787,0.009166378596296591,0,10,0.001953125
12,12,trm_stepDS-trm_nods,-0.02014444444444443,0.010246087278895713,0,10,0.001953125
12,12,trm_stepDS-trm_finalDS,-0.019977777777777782,0.009836356513720945,1,9,0.021484375
12,12,trm_finalDS-trm_nods,-0.0001666666666666483,0.012179414371418956,4,6,0.75390625
12,12,trm_stepDS-ff_matched,-0.016044444444444438,0.010778375953872541,0,9,0.00390625
12,12,trm_stepDS-untied_matched,-0.01988888888888889,0.009726013370174737,0,10,0.001953125
12,16,trm_stepDS-trm_nods,-0.0005777777777777659,0.012209173730537292,3,7,0.34375
12,16,trm_stepDS-trm_finalDS,0.0010111111111111236,0.011473049472460705,5,5,1.0
12,16,trm_finalDS-trm_nods,-0.0015888888888888897,0.012260327803940742,4,6,0.75390625
12,16,trm_stepDS-ff_matched,-0.01572222222222221,0.007093003566083797,0,10,0.001953125
12,16,trm_stepDS-untied_matched,-0.01956666666666666,0.010080260899796002,1,9,0.021484375
16,4,trm_stepDS-trm_nods,0.04038888888888891,0.010121382654127634,10,0,0.001953125
16,4,trm_stepDS-trm_finalDS,0.04695555555555558,0.009124831584217272,10,0,0.001953125
16,4,trm_finalDS-trm_nods,-0.006566666666666665,0.007660930041996713,2,8,0.109375
16,4,trm_stepDS-ff_matched,0.0016111111111111408,0.012467268531498342,5,5,1.0
16,4,trm_stepDS-untied_matched,0.018344444444444476,0.01098377029423607,10,0,0.001953125
16,8,trm_stepDS-trm_nods,-0.003566666666666679,0.010175207233745013,4,6,0.75390625
16,8,trm_stepDS-trm_finalDS,-0.006599999999999995,0.011373349832822021,4,6,0.75390625
16,8,trm_finalDS-trm_nods,0.003033333333333316,0.010331282154045631,8,2,0.109375
16,8,trm_stepDS-ff_matched,-0.03342222222222222,0.011167977934189593,0,10,0.001953125
16,8,trm_stepDS-untied_matched,-0.016688888888888885,0.009586627632034146,0,10,0.001953125
16,12,trm_stepDS-trm_nods,-0.020855555555555554,0.010094213257576715,0,10,0.001953125
16,12,trm_stepDS-trm_finalDS,-0.029755555555555542,0.009975388094048578,0,10,0.001953125
16,12,trm_finalDS-trm_nods,0.008899999999999986,0.012676241778387725,6,4,0.75390625
16,12,trm_stepDS-ff_matched,-0.02782222222222221,0.005642091470290274,0,10,0.001953125
16,12,trm_stepDS-untied_matched,-0.011088888888888876,0.009230295439988089,1,9,0.021484375
16,16,trm_stepDS-trm_nods,-0.016777777777777787,0.010433143347512275,0,10,0.001953125
16,16,trm_stepDS-trm_finalDS,-0.009588888888888897,0.020633123582039503,4,6,0.75390625
16,16,trm_finalDS-trm_nods,-0.007188888888888889,0.01850014273477728,4,6,0.75390625
16,16,trm_stepDS-ff_matched,-0.032633333333333334,0.00962607484244893,0,10,0.001953125
16,16,trm_stepDS-untied_matched,-0.015899999999999997,0.009642647895480458,0,10,0.001953125
