config,arm,metric,mean,std,n_params
"d=20, k=3",baseline,accuracy,0.5117,0.008459708426811575,0
"d=20, k=3",trm_ds,accuracy,0.9884999999999999,0.03532468447606196,9922
"d=20, k=3",trm_ds,train_accuracy,0.9899000000000001,0.03193900436770063,9922
"d=20, k=3",trm_nods,accuracy,1.0,0.0,9922
"d=20, k=3",trm_nods,train_accuracy,1.0,0.0,9922
"d=20, k=3",ff_matched,accuracy,1.0,0.0,9858
"d=20, k=3",ff_matched,train_accuracy,1.0,0.0,9858
"d=20, k=3",untied_matched,accuracy,1.0,0.0,9781
"d=20, k=3",untied_matched,train_accuracy,1.0,0.0,9781
"d=20, k=3",untied_stack,accuracy,1.0,0.0,39496
"d=20, k=3",untied_stack,train_accuracy,1.0,0.0,39496
"d=20, k=4",baseline,accuracy,0.5126000000000001,0.007805980613179451,0
"d=20, k=4",trm_ds,accuracy,0.9999,0.0003162277660168382,9922
"d=20, k=4",trm_ds,train_accuracy,1.0,0.0,9922
"d=20, k=4",trm_nods,accuracy,1.0,0.0,9922
"d=20, k=4",trm_nods,train_accuracy,1.0,0.0,9922
"d=20, k=4",ff_matched,accuracy,0.7718999999999999,0.23977093235002445,9858
"d=20, k=4",ff_matched,train_accuracy,0.8321,0.17562614966013587,9858
"d=20, k=4",untied_matched,accuracy,1.0,0.0,9781
"d=20, k=4",untied_matched,train_accuracy,1.0,0.0,9781
"d=20, k=4",untied_stack,accuracy,1.0,0.0,39496
"d=20, k=4",untied_stack,train_accuracy,1.0,0.0,39496
"d=20, k=5",baseline,accuracy,0.5192,0.0157959207110922,0
"d=20, k=5",trm_ds,accuracy,1.0,0.0,9922
"d=20, k=5",trm_ds,train_accuracy,1.0,0.0,9922
"d=20, k=5",trm_nods,accuracy,1.0,0.0,9922
"d=20, k=5",trm_nods,train_accuracy,1.0,0.0,9922
"d=20, k=5",ff_matched,accuracy,0.503,0.01527525231651948,9858
"d=20, k=5",ff_matched,train_accuracy,0.6323500000000001,0.010571975532825774,9858
"d=20, k=5",untied_matched,accuracy,0.9006000000000001,0.20957268693966566,9781
"d=20, k=5",untied_matched,train_accuracy,0.95425,0.09655891983654333,9781
"d=20, k=5",untied_stack,accuracy,1.0,0.0,39496
"d=20, k=5",untied_stack,train_accuracy,1.0,0.0,39496
"d=40, k=3",baseline,accuracy,0.5118,0.013239671026460181,0
"d=40, k=3",trm_ds,accuracy,0.9996,0.0005163977794943227,11202
"d=40, k=3",trm_ds,train_accuracy,1.0,0.0,11202
"d=40, k=3",trm_nods,accuracy,0.9998000000000001,0.0006324555320336763,11202
"d=40, k=3",trm_nods,train_accuracy,1.0,0.0,11202
"d=40, k=3",ff_matched,accuracy,0.9994,0.0012649110640673528,11182
"d=40, k=3",ff_matched,train_accuracy,1.0,0.0,11182
"d=40, k=3",untied_matched,accuracy,1.0,0.0,11460
"d=40, k=3",untied_matched,train_accuracy,1.0,0.0,11460
"d=40, k=3",untied_stack,accuracy,1.0,0.0,44616
"d=40, k=3",untied_stack,train_accuracy,1.0,0.0,44616
"d=40, k=4",baseline,accuracy,0.5128,0.012787146323989234,0
"d=40, k=4",trm_ds,accuracy,0.5153,0.025789963594821597,11202
"d=40, k=4",trm_ds,train_accuracy,0.9002500000000001,0.031293414287638495,11202
"d=40, k=4",trm_nods,accuracy,0.5076,0.01159693446083443,11202
"d=40, k=4",trm_nods,train_accuracy,0.9009500000000001,0.023996759040429697,11202
"d=40, k=4",ff_matched,accuracy,0.5041,0.014955118038837272,11182
"d=40, k=4",ff_matched,train_accuracy,0.74075,0.011609981337912053,11182
"d=40, k=4",untied_matched,accuracy,0.5719,0.1609537200564187,11460
"d=40, k=4",untied_matched,train_accuracy,0.953375,0.033839131276608675,11460
"d=40, k=4",untied_stack,accuracy,0.5795,0.16444536411154245,44616
"d=40, k=4",untied_stack,train_accuracy,1.0,0.0,44616
