config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"d=20, k=3",trm_nods-ff_matched,accuracy,0.0,0.0,10,0,0,1.0
"d=20, k=3",trm_nods-untied_matched,accuracy,0.0,0.0,10,0,0,1.0
"d=20, k=3",untied_matched-ff_matched,accuracy,0.0,0.0,10,0,0,1.0
"d=20, k=3",trm_ds-trm_nods,accuracy,-0.0115,0.03532468447606197,10,0,2,0.5
"d=20, k=3",trm_nods-untied_stack,accuracy,0.0,0.0,10,0,0,1.0
"d=20, k=4",trm_nods-ff_matched,accuracy,0.22809999999999997,0.23977093235002445,10,6,0,0.03125
"d=20, k=4",trm_nods-untied_matched,accuracy,0.0,0.0,10,0,0,1.0
"d=20, k=4",untied_matched-ff_matched,accuracy,0.22809999999999997,0.23977093235002445,10,6,0,0.03125
"d=20, k=4",trm_ds-trm_nods,accuracy,-0.00010000000000000009,0.0003162277660168382,10,0,1,1.0
"d=20, k=4",trm_nods-untied_stack,accuracy,0.0,0.0,10,0,0,1.0
"d=20, k=5",trm_nods-ff_matched,accuracy,0.497,0.01527525231651948,10,10,0,0.001953125
"d=20, k=5",trm_nods-untied_matched,accuracy,0.0994,0.20957268693966566,10,2,0,0.5
"d=20, k=5",untied_matched-ff_matched,accuracy,0.3976,0.2144161063601955,10,9,1,0.021484375
"d=20, k=5",trm_ds-trm_nods,accuracy,0.0,0.0,10,0,0,1.0
"d=20, k=5",trm_nods-untied_stack,accuracy,0.0,0.0,10,0,0,1.0
"d=40, k=3",trm_nods-ff_matched,accuracy,0.00040000000000000034,0.0015055453054181635,10,3,1,0.625
"d=40, k=3",trm_nods-untied_matched,accuracy,-0.00020000000000000017,0.0006324555320336764,10,0,1,1.0
"d=40, k=3",untied_matched-ff_matched,accuracy,0.0006000000000000005,0.0012649110640673526,10,3,0,0.25
"d=40, k=3",trm_ds-trm_nods,accuracy,-0.00020000000000000017,0.0006324555320336763,10,1,3,0.625
"d=40, k=3",trm_nods-untied_stack,accuracy,-0.00020000000000000017,0.0006324555320336764,10,0,1,1.0
"d=40, k=4",trm_nods-ff_matched,accuracy,0.003500000000000003,0.015291609899985474,10,5,5,1.0
"d=40, k=4",trm_nods-untied_matched,accuracy,-0.06430000000000001,0.15692818598185462,10,3,7,0.34375
"d=40, k=4",untied_matched-ff_matched,accuracy,0.0678,0.16184546813412962,10,6,3,0.5078125
"d=40, k=4",trm_ds-trm_nods,accuracy,0.007700000000000007,0.019748698972618724,10,6,4,0.75390625
"d=40, k=4",trm_nods-untied_stack,accuracy,-0.07189999999999999,0.1579398267977045,10,4,6,0.75390625
"d=40, k=5",trm_nods-ff_matched,accuracy,-0.0026000000000000025,0.017883574089712122,10,4,6,0.75390625
"d=40, k=5",trm_nods-untied_matched,accuracy,-0.03430000000000001,0.09776394472855979,10,2,8,0.109375
"d=40, k=5",untied_matched-ff_matched,accuracy,0.03170000000000001,0.09428685545244953,10,5,5,1.0
"d=40, k=5",trm_ds-trm_nods,accuracy,0.004400000000000004,0.007381658952355425,10,6,2,0.2890625
"d=40, k=5",trm_nods-untied_stack,accuracy,-0.0020000000000000018,0.011382247385975925,10,5,5,1.0
"d=80, k=3",trm_nods-ff_matched,accuracy,0.16499999999999998,0.2087976159932015,10,6,4,0.75390625
"d=80, k=3",trm_nods-untied_matched,accuracy,0.028099999999999993,0.24512783513007158,10,6,4,0.75390625
"d=80, k=3",untied_matched-ff_matched,accuracy,0.13690000000000002,0.23540341260624636,10,6,4,0.75390625
"d=80, k=3",trm_ds-trm_nods,accuracy,-0.0264,0.11418912187925587,10,4,6,0.75390625
"d=80, k=3",trm_nods-untied_stack,accuracy,-0.14429999999999998,0.2000861203471034,10,3,7,0.34375
"d=80, k=4",trm_nods-ff_matched,accuracy,-0.0055,0.02256472172810175,10,4,6,0.75390625
"d=80, k=4",trm_nods-untied_matched,accuracy,-0.0046999999999999984,0.009475699915514885,10,2,7,0.1796875
"d=80, k=4",untied_matched-ff_matched,accuracy,-0.0008000000000000007,0.017535994728304173,10,4,6,0.75390625
"d=80, k=4",trm_ds-trm_nods,accuracy,0.0030000000000000027,0.010317191693694773,10,7,3,0.34375
"d=80, k=4",trm_nods-untied_stack,accuracy,-0.0013000000000000012,0.01608346286649047,10,5,5,1.0
"d=80, k=5",trm_nods-ff_matched,accuracy,-0.009900000000000003,0.014340695783523054,10,2,8,0.109375
"d=80, k=5",trm_nods-untied_matched,accuracy,-0.006900000000000006,0.02385814559246194,10,3,7,0.34375
"d=80, k=5",untied_matched-ff_matched,accuracy,-0.002999999999999997,0.014944341180973264,10,4,6,0.75390625
"d=80, k=5",trm_ds-trm_nods,accuracy,0.003199999999999997,0.008715248450592537,10,6,3,0.5078125
"d=80, k=5",trm_nods-untied_stack,accuracy,-0.0055,0.01859061890070127,10,3,7,0.34375
