config,arm,metric,mean,std,n_params
"d=40, k=4",baseline,accuracy,0.5128,0.012787146323989234,0
"d=40, k=4",trm_ds,accuracy,1.0,0.0,11202
"d=40, k=4",trm_ds,train_accuracy,1.0,0.0,11202
"d=40, k=4",trm_nods,accuracy,1.0,0.0,11202
"d=40, k=4",trm_nods,train_accuracy,1.0,0.0,11202
"d=40, k=4",ff_matched,accuracy,1.0,0.0,11182
"d=40, k=4",ff_matched,train_accuracy,1.0,0.0,11182
"d=40, k=4",untied_matched,accuracy,1.0,0.0,11460
"d=40, k=4",untied_matched,train_accuracy,1.0,0.0,11460
"d=40, k=4",untied_stack,accuracy,1.0,0.0,44616
"d=40, k=4",untied_stack,train_accuracy,1.0,0.0,44616
"d=40, k=5",baseline,accuracy,0.5105999999999999,0.00763326055278259,0
"d=40, k=5",trm_ds,accuracy,1.0,0.0,11202
"d=40, k=5",trm_ds,train_accuracy,0.99999375,1.9764235376041417e-05,11202
"d=40, k=5",trm_nods,accuracy,1.0,0.0,11202
"d=40, k=5",trm_nods,train_accuracy,1.0,0.0,11202
"d=40, k=5",ff_matched,accuracy,1.0,0.0,11182
"d=40, k=5",ff_matched,train_accuracy,1.0,0.0,11182
"d=40, k=5",untied_matched,accuracy,0.9999,0.0003162277660168382,11460
"d=40, k=5",untied_matched,train_accuracy,1.0,0.0,11460
"d=40, k=5",untied_stack,accuracy,1.0,0.0,44616
"d=40, k=5",untied_stack,train_accuracy,1.0,0.0,44616
"d=80, k=4",baseline,accuracy,0.5138,0.010008884941779376,0
"d=80, k=4",trm_ds,accuracy,1.0,0.0,13762
"d=80, k=4",trm_ds,train_accuracy,1.0,0.0,13762
"d=80, k=4",trm_nods,accuracy,0.9998000000000001,0.0006324555320336763,13762
"d=80, k=4",trm_nods,train_accuracy,1.0,0.0,13762
"d=80, k=4",ff_matched,accuracy,1.0,0.0,13863
"d=80, k=4",ff_matched,train_accuracy,1.0,0.0,13863
"d=80, k=4",untied_matched,accuracy,1.0,0.0,13633
"d=80, k=4",untied_matched,train_accuracy,1.0,0.0,13633
"d=80, k=4",untied_stack,accuracy,1.0,0.0,54856
"d=80, k=4",untied_stack,train_accuracy,1.0,0.0,54856
"d=80, k=5",baseline,accuracy,0.5121,0.007534365710971745,0
"d=80, k=5",trm_ds,accuracy,0.49849999999999994,0.012633729105498162,13762
"d=80, k=5",trm_ds,train_accuracy,0.7223,0.004157958347738425,13762
"d=80, k=5",trm_nods,accuracy,0.4962,0.015611961226358903,13762
"d=80, k=5",trm_nods,train_accuracy,0.732859375,0.008218251595576428,13762
"d=80, k=5",ff_matched,accuracy,0.5875,0.1999023372660871,13863
"d=80, k=5",ff_matched,train_accuracy,0.7656421874999999,0.11882982775781617,13863
"d=80, k=5",untied_matched,accuracy,0.4981,0.012870724748651719,13633
"d=80, k=5",untied_matched,train_accuracy,0.747071875,0.007446351088368712,13633
"d=80, k=5",untied_stack,accuracy,0.4968,0.012795832654944096,54856
"d=80, k=5",untied_stack,train_accuracy,0.9371375000000001,0.004200919108262685,54856
