config,arm,metric,mean,std,n_params
"k=3, w=1",baseline,accuracy,0.5117,0.008459708426811575,0
"k=3, w=1",trm_ds,accuracy,0.9907999999999999,0.029092954473549083,9922
"k=3, w=1",trm_ds,train_accuracy,0.99115,0.027810919118616374,9922
"k=3, w=1",trm_ds,exact_match,0.9907999999999999,0.029092954473549083,9922
"k=3, w=1",trm_nods,accuracy,1.0,0.0,9922
"k=3, w=1",trm_nods,train_accuracy,1.0,0.0,9922
"k=3, w=1",trm_nods,exact_match,1.0,0.0,9922
"k=3, w=1",ff_matched,accuracy,1.0,0.0,9858
"k=3, w=1",ff_matched,train_accuracy,1.0,0.0,9858
"k=3, w=1",ff_matched,exact_match,1.0,0.0,9858
"k=3, w=1",untied_matched,accuracy,1.0,0.0,9781
"k=3, w=1",untied_matched,train_accuracy,1.0,0.0,9781
"k=3, w=1",untied_matched,exact_match,1.0,0.0,9781
"k=3, w=1",untied_stack,accuracy,1.0,0.0,39496
"k=3, w=1",untied_stack,train_accuracy,1.0,0.0,39496
"k=3, w=1",untied_stack,exact_match,1.0,0.0,39496
"k=3, w=4",baseline,accuracy,0.5058,0.0028886752057724592,0
"k=3, w=4",trm_ds,accuracy,0.85125,0.09746844218629033,10696
"k=3, w=4",trm_ds,train_accuracy,0.865225,0.0880180408827266,10696
"k=3, w=4",trm_ds,exact_match,0.5029,0.28766317108729783,10696
"k=3, w=4",trm_nods,accuracy,0.8523999999999999,0.0768884653970354,10696
"k=3, w=4",trm_nods,train_accuracy,0.86708125,0.07156970821290635,10696
"k=3, w=4",trm_nods,exact_match,0.48340000000000005,0.21505358505368946,10696
"k=3, w=4",ff_matched,accuracy,1.0,0.0,10599
"k=3, w=4",ff_matched,train_accuracy,1.0,0.0,10599
"k=3, w=4",ff_matched,exact_match,1.0,0.0,10599
"k=3, w=4",untied_matched,accuracy,0.901275,0.06303696556606908,10588
"k=3, w=4",untied_matched,train_accuracy,0.9103249999999999,0.057189566598967845,10588
"k=3, w=4",untied_matched,exact_match,0.6216,0.23298411963050183,10588
"k=3, w=4",untied_stack,accuracy,0.9503,0.06439427165689682,42592
"k=3, w=4",untied_stack,train_accuracy,0.9577375,0.05502294975735125,42592
"k=3, w=4",untied_stack,exact_match,0.8046000000000001,0.25252775425023416,42592
"k=3, w=8",baseline,accuracy,0.502625,0.0015844294451526294,0
"k=3, w=8",trm_ds,accuracy,0.7687125,0.05039231677823296,11728
"k=3, w=8",trm_ds,train_accuracy,0.7923781249999999,0.044791934228852026,11728
"k=3, w=8",trm_ds,exact_match,0.0889,0.04196943332156552,11728
"k=3, w=8",trm_nods,accuracy,0.7925625000000001,0.046974921278983194,11728
"k=3, w=8",trm_nods,train_accuracy,0.81529375,0.040905084706685454,11728
"k=3, w=8",trm_nods,exact_match,0.11529999999999999,0.057084829664086574,11728
"k=3, w=8",ff_matched,accuracy,0.9816125000000001,0.029647257813047966,11755
"k=3, w=8",ff_matched,train_accuracy,0.9857812499999999,0.02294927604159515,11755
"k=3, w=8",ff_matched,exact_match,0.8542,0.2349765000070338,11755
"k=3, w=8",untied_matched,accuracy,0.733525,0.05656221378073686,11755
"k=3, w=8",untied_matched,train_accuracy,0.757959375,0.05040020833720856,11755
"k=3, w=8",untied_matched,exact_match,0.0657,0.043127846121863204,11755
"k=3, w=8",untied_stack,accuracy,0.84285,0.06299318746234918,46720
"k=3, w=8",untied_stack,train_accuracy,0.8690749999999999,0.05344025171602603,46720
"k=3, w=8",untied_stack,exact_match,0.2246,0.16262171510048165,46720
"k=4, w=1",baseline,accuracy,0.5126000000000001,0.007805980613179451,0
"k=4, w=1",trm_ds,accuracy,0.9999,0.0003162277660168382,9922
"k=4, w=1",trm_ds,train_accuracy,1.0,0.0,9922
"k=4, w=1",trm_ds,exact_match,0.9999,0.0003162277660168382,9922
"k=4, w=1",trm_nods,accuracy,1.0,0.0,9922
"k=4, w=1",trm_nods,train_accuracy,1.0,0.0,9922
"k=4, w=1",trm_nods,exact_match,1.0,0.0,9922
"k=4, w=1",ff_matched,accuracy,0.7718999999999999,0.23977093235002445,9858
"k=4, w=1",ff_matched,train_accuracy,0.8321,0.17562614966013587,9858
"k=4, w=1",ff_matched,exact_match,0.7718999999999999,0.23977093235002445,9858
"k=4, w=1",untied_matched,accuracy,1.0,0.0,9781
"k=4, w=1",untied_matched,train_accuracy,1.0,0.0,9781
"k=4, w=1",untied_matched,exact_match,1.0,0.0,9781
"k=4, w=1",untied_stack,accuracy,1.0,0.0,39496
"k=4, w=1",untied_stack,train_accuracy,1.0,0.0,39496
"k=4, w=1",untied_stack,exact_match,1.0,0.0,39496
