config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"k=3, w=1",trm_nods-ff_matched,accuracy,0.0,0.0,10,0,0,1.0
"k=3, w=1",trm_nods-ff_matched,exact_match,0.0,0.0,10,0,0,1.0
"k=3, w=1",trm_nods-untied_matched,accuracy,0.0,0.0,10,0,0,1.0
"k=3, w=1",trm_nods-untied_matched,exact_match,0.0,0.0,10,0,0,1.0
"k=3, w=1",untied_matched-ff_matched,accuracy,0.0,0.0,10,0,0,1.0
"k=3, w=1",untied_matched-ff_matched,exact_match,0.0,0.0,10,0,0,1.0
"k=3, w=1",trm_ds-trm_nods,accuracy,-0.009199999999999996,0.02909295447354908,10,0,1,1.0
"k=3, w=1",trm_ds-trm_nods,exact_match,-0.009199999999999996,0.02909295447354908,10,0,1,1.0
"k=3, w=1",trm_nods-untied_stack,accuracy,0.0,0.0,10,0,0,1.0
"k=3, w=1",trm_nods-untied_stack,exact_match,0.0,0.0,10,0,0,1.0
"k=3, w=4",trm_nods-ff_matched,accuracy,-0.14759999999999998,0.0768884653970354,10,0,9,0.00390625
"k=3, w=4",trm_nods-ff_matched,exact_match,-0.5166,0.21505358505368946,10,0,9,0.00390625
"k=3, w=4",trm_nods-untied_matched,accuracy,-0.04887499999999999,0.08596496783250979,10,4,5,1.0
"k=3, w=4",trm_nods-untied_matched,exact_match,-0.1382,0.23892434878941166,10,4,5,1.0
"k=3, w=4",untied_matched-ff_matched,accuracy,-0.098725,0.06303696556606907,10,0,8,0.0078125
"k=3, w=4",untied_matched-ff_matched,exact_match,-0.3784,0.23298411963050186,10,0,8,0.0078125
"k=3, w=4",trm_ds-trm_nods,accuracy,-0.0011500000000000178,0.05402856754635562,10,4,5,1.0
"k=3, w=4",trm_ds-trm_nods,exact_match,0.019499999999999993,0.16697587982832862,10,4,5,1.0
"k=3, w=4",trm_nods-untied_stack,accuracy,-0.09789999999999997,0.07694128352913741,10,1,8,0.0390625
"k=3, w=4",trm_nods-untied_stack,exact_match,-0.32120000000000004,0.25396097687986985,10,1,8,0.0390625
"k=3, w=8",trm_nods-ff_matched,accuracy,-0.18905,0.04709112030002165,10,0,10,0.001953125
"k=3, w=8",trm_nods-ff_matched,exact_match,-0.7389,0.22139981431288006,10,0,10,0.001953125
"k=3, w=8",trm_nods-untied_matched,accuracy,0.05903750000000002,0.06421770291793032,10,7,3,0.34375
"k=3, w=8",trm_nods-untied_matched,exact_match,0.049600000000000005,0.07173593551661848,10,8,2,0.109375
"k=3, w=8",untied_matched-ff_matched,accuracy,-0.24808750000000002,0.05976842027776876,10,0,10,0.001953125
"k=3, w=8",untied_matched-ff_matched,exact_match,-0.7885,0.2356830498784331,10,0,10,0.001953125
"k=3, w=8",trm_ds-trm_nods,accuracy,-0.023850000000000003,0.03233659777335202,10,3,7,0.34375
"k=3, w=8",trm_ds-trm_nods,exact_match,-0.0264,0.048751524192696905,10,3,7,0.34375
"k=3, w=8",trm_nods-untied_stack,accuracy,-0.050287499999999985,0.05483048529837717,10,1,9,0.021484375
"k=3, w=8",trm_nods-untied_stack,exact_match,-0.10929999999999998,0.12925431434879756,10,1,9,0.021484375
"k=4, w=1",trm_nods-ff_matched,accuracy,0.22809999999999997,0.23977093235002445,10,6,0,0.03125
"k=4, w=1",trm_nods-ff_matched,exact_match,0.22809999999999997,0.23977093235002445,10,6,0,0.03125
"k=4, w=1",trm_nods-untied_matched,accuracy,0.0,0.0,10,0,0,1.0
"k=4, w=1",trm_nods-untied_matched,exact_match,0.0,0.0,10,0,0,1.0
"k=4, w=1",untied_matched-ff_matched,accuracy,0.22809999999999997,0.23977093235002445,10,6,0,0.03125
"k=4, w=1",untied_matched-ff_matched,exact_match,0.22809999999999997,0.23977093235002445,10,6,0,0.03125
"k=4, w=1",trm_ds-trm_nods,accuracy,-0.00010000000000000009,0.0003162277660168382,10,0,1,1.0
"k=4, w=1",trm_ds-trm_nods,exact_match,-0.00010000000000000009,0.0003162277660168382,10,0,1,1.0
"k=4, w=1",trm_nods-untied_stack,accuracy,0.0,0.0,10,0,0,1.0
"k=4, w=1",trm_nods-untied_stack,exact_match,0.0,0.0,10,0,0,1.0
"k=4, w=4",trm_nods-ff_matched,accuracy,0.26937500000000003,0.06567155755897845,10,10,0,0.001953125
"k=4, w=4",trm_nods-ff_matched,exact_match,0.3148,0.14042775920577655,10,10,0,0.001953125
"k=4, w=4",trm_nods-untied_matched,accuracy,0.016449999999999985,0.0942904643464368,10,7,3,0.34375
"k=4, w=4",trm_nods-untied_matched,exact_match,0.02259999999999999,0.19093524207612034,10,7,3,0.34375
"k=4, w=4",untied_matched-ff_matched,accuracy,0.252925,0.0685263584728939,10,10,0,0.001953125
"k=4, w=4",untied_matched-ff_matched,exact_match,0.29220000000000007,0.16008456098783128,10,10,0,0.001953125
"k=4, w=4",trm_ds-trm_nods,accuracy,-0.005500000000000005,0.015020356557389437,10,4,6,0.75390625
"k=4, w=4",trm_ds-trm_nods,exact_match,-0.017900000000000006,0.05199668792870903,10,4,6,0.75390625
"k=4, w=4",trm_nods-untied_stack,accuracy,-0.1041,0.10767487068846554,10,1,9,0.021484375
"k=4, w=4",trm_nods-untied_stack,exact_match,-0.33110000000000006,0.30463838307810864,10,1,9,0.021484375
"k=4, w=8",trm_nods-ff_matched,accuracy,0.18170000000000003,0.07594358286108036,10,10,0,0.001953125
"k=4, w=8",trm_nods-ff_matched,exact_match,0.0453,0.03703466844278029,10,10,0,0.001953125
"k=4, w=8",trm_nods-untied_matched,accuracy,0.03536250000000002,0.09844239097196784,10,7,3,0.34375
"k=4, w=8",trm_nods-untied_matched,exact_match,0.013000000000000001,0.0423975890299856,10,7,3,0.34375
"k=4, w=8",untied_matched-ff_matched,accuracy,0.1463375,0.06084397880599563,10,10,0,0.001953125
"k=4, w=8",untied_matched-ff_matched,exact_match,0.0323,0.026449322612624063,10,10,0,0.001953125
"k=4, w=8",trm_ds-trm_nods,accuracy,-0.036262499999999996,0.04804661545774523,10,2,8,0.109375
"k=4, w=8",trm_ds-trm_nods,exact_match,-0.0154,0.02523753817893761,10,3,7,0.34375
"k=4, w=8",trm_nods-untied_stack,accuracy,-0.060024999999999995,0.05677513515811497,10,1,9,0.021484375
"k=4, w=8",trm_nods-untied_stack,exact_match,-0.05600000000000001,0.05516641490375583,10,1,9,0.021484375
