config,arm,n_params,ref_params,ratio,role,within_tol
"k=3, w=1",trm_ds,9922,9922,1.0000,matched,True
"k=3, w=1",trm_nods,9922,9922,1.0000,reference,True
"k=3, w=1",ff_matched,9858,9922,0.9935,matched,True
"k=3, w=1",untied_matched,9781,9922,0.9858,matched,True
"k=3, w=1",untied_stack,39496,9922,3.9806,ceiling,True
"k=3, w=4",trm_ds,10696,10696,1.0000,matched,True
"k=3, w=4",trm_nods,10696,10696,1.0000,reference,True
"k=3, w=4",ff_matched,10599,10696,0.9909,matched,True
"k=3, w=4",untied_matched,10588,10696,0.9899,matched,True
"k=3, w=4",untied_stack,42592,10696,3.9820,ceiling,True
"k=3, w=8",trm_ds,11728,11728,1.0000,matched,True
"k=3, w=8",trm_nods,11728,11728,1.0000,reference,True
"k=3, w=8",ff_matched,11755,11728,1.0023,matched,True
"k=3, w=8",untied_matched,11755,11728,1.0023,matched,True
"k=3, w=8",untied_stack,46720,11728,3.9836,ceiling,True
"k=4, w=1",trm_ds,9922,9922,1.0000,matched,True
"k=4, w=1",trm_nods,9922,9922,1.0000,reference,True
"k=4, w=1",ff_matched,9858,9922,0.9935,matched,True
"k=4, w=1",untied_matched,9781,9922,0.9858,matched,True
"k=4, w=1",untied_stack,39496,9922,3.9806,ceiling,True
"k=4, w=4",trm_ds,10696,10696,1.0000,matched,True
"k=4, w=4",trm_nods,10696,10696,1.0000,reference,True
"k=4, w=4",ff_matched,10599,10696,0.9909,matched,True
"k=4, w=4",untied_matched,10588,10696,0.9899,matched,True
"k=4, w=4",untied_stack,42592,10696,3.9820,ceiling,True
"k=4, w=8",trm_ds,11728,11728,1.0000,matched,True
"k=4, w=8",trm_nods,11728,11728,1.0000,reference,True
"k=4, w=8",ff_matched,11755,11728,1.0023,matched,True
"k=4, w=8",untied_matched,11755,11728,1.0023,matched,True
"k=4, w=8",untied_stack,46720,11728,3.9836,ceiling,True
