config,arm,metric,mean,std,n_params
single,baseline,accuracy,0.5075,0.006323741925012142,0
single,trm_prog_step,accuracy,0.5461777777777778,0.00722121550438486,11538
single,trm_prog_step,train_accuracy,0.5536500000000001,0.008171412495239259,11538
single,trm_prog_step,exact_match,0.0099,0.004677368680976279,11538
single,trm_prog_final,accuracy,0.5936888888888889,0.009686413773785539,11538
single,trm_prog_final,train_accuracy,0.6024527777777778,0.012638472045764761,11538
single,trm_prog_final,exact_match,0.0182,0.005827139568909909,11538
single,trm_stepDS,accuracy,0.586088888888889,0.0100268227375998,11538
single,trm_stepDS,train_accuracy,0.5990972222222222,0.010089604127717136,11538
single,trm_stepDS,exact_match,0.020100000000000003,0.00811651266109884,11538
single,trm_nods,accuracy,0.6449222222222223,0.009496089730231545,11538
single,trm_nods,train_accuracy,0.6548583333333333,0.007357347628659651,11538
single,trm_nods,exact_match,0.0335,0.009454569735788556,11538
single,ff_matched,accuracy,0.5426444444444444,0.004502338974513877,11518
single,ff_matched,train_accuracy,0.5517194444444444,0.00487178633831577,11518
single,ff_matched,exact_match,0.0038000000000000004,0.0026583202716502514,11518
single,untied_matched,accuracy,0.5921777777777779,0.006734266324962812,11721
single,untied_matched,train_accuracy,0.6034555555555556,0.004643907612663295,11721
single,untied_matched,exact_match,0.0068000000000000005,0.0019321835661585919,11721
