T_test,R_test,delta,delta_mean,delta_std,sign_pos,sign_neg,sign_p
4,4,trm_prog_final-trm_nods,-0.011366666666666681,0.027386180468594663,4,6,0.75390625
4,4,trm_prog_step-trm_stepDS,-0.08172222222222221,0.022779448899854223,0,10,0.001953125
4,4,trm_prog_step-trm_prog_final,0.09505555555555557,0.02422331235512698,10,0,0.001953125
4,4,trm_prog_step-trm_nods,0.0836888888888889,0.025980355562837634,10,0,0.001953125
4,4,trm_prog_step-untied_matched,0.25541111111111114,0.02493624518108408,10,0,0.001953125
4,8,trm_prog_final-trm_nods,-0.0008111111111110958,0.014941775428283111,4,6,0.75390625
4,8,trm_prog_step-trm_stepDS,-0.0031111111111111257,0.011785113019775785,4,6,0.75390625
4,8,trm_prog_step-trm_prog_final,-0.002911111111111103,0.01159369300184908,5,5,1.0
4,8,trm_prog_step-trm_nods,-0.003722222222222199,0.012509886351033516,3,6,0.5078125
4,8,trm_prog_step-untied_matched,-0.014955555555555545,0.012721475529330175,2,8,0.109375
4,12,trm_prog_final-trm_nods,0.005233333333333335,0.010593039358617698,8,2,0.109375
4,12,trm_prog_step-trm_stepDS,-0.0022555555555555606,0.008513210906886429,3,7,0.34375
4,12,trm_prog_step-trm_prog_final,0.02696666666666666,0.009743915832333482,10,0,0.001953125
4,12,trm_prog_step-trm_nods,0.03219999999999999,0.012022247324315997,10,0,0.001953125
4,12,trm_prog_step-untied_matched,-0.007177777777777772,0.013132458035213316,2,8,0.109375
4,16,trm_prog_final-trm_nods,0.0018555555555555769,0.023702259793985138,5,5,1.0
4,16,trm_prog_step-trm_stepDS,0.0008222222222222187,0.0069086137363854536,4,6,0.75390625
4,16,trm_prog_step-trm_prog_final,-0.023077777777777787,0.019643744052091697,1,9,0.021484375
4,16,trm_prog_step-trm_nods,-0.02122222222222221,0.01116935352479566,0,10,0.001953125
4,16,trm_prog_step-untied_matched,5.555555555556424e-05,0.009369894586076389,4,6,0.75390625
8,4,trm_prog_final-trm_nods,7.777777777778216e-05,0.012053157296868096,4,6,0.75390625
8,4,trm_prog_step-trm_stepDS,0.008788888888888891,0.011754630176651643,9,1,0.021484375
8,4,trm_prog_step-trm_prog_final,-0.01587777777777777,0.007629710535349496,0,10,0.001953125
8,4,trm_prog_step-trm_nods,-0.015799999999999988,0.009263228778747037,0,10,0.001953125
8,4,trm_prog_step-untied_matched,-0.10096666666666665,0.00798868369729104,0,10,0.001953125
8,8,trm_prog_final-trm_nods,-0.05123333333333333,0.014014048409081197,0,10,0.001953125
8,8,trm_prog_step-trm_stepDS,-0.03991111111111112,0.013158712500759359,0,10,0.001953125
8,8,trm_prog_step-trm_prog_final,-0.047511111111111136,0.012033925523770703,0,10,0.001953125
8,8,trm_prog_step-trm_nods,-0.09874444444444447,0.011812904756784714,0,10,0.001953125
8,8,trm_prog_step-untied_matched,-0.046000000000000006,0.011024228212521548,0,10,0.001953125
8,12,trm_prog_final-trm_nods,0.0034555555555555563,0.013854569945242878,6,4,0.75390625
8,12,trm_prog_step-trm_stepDS,0.00318888888888888,0.012300651839040683,6,4,0.75390625
8,12,trm_prog_step-trm_prog_final,-0.012455555555555576,0.014405212629171153,2,8,0.109375
8,12,trm_prog_step-trm_nods,-0.009000000000000018,0.01593901271096407,4,6,0.75390625
8,12,trm_prog_step-untied_matched,-0.08962222222222223,0.010164652704792878,0,10,0.001953125
8,16,trm_prog_final-trm_nods,0.014322222222222226,0.013957160598115628,9,1,0.021484375
8,16,trm_prog_step-trm_stepDS,0.00391111111111111,0.013162673249693214,6,4,0.75390625
8,16,trm_prog_step-trm_prog_final,0.008633333333333331,0.01195717667654341,6,4,0.75390625
8,16,trm_prog_step-trm_nods,0.022955555555555555,0.02017755207357314,9,1,0.021484375
8,16,trm_prog_step-untied_matched,-0.09087777777777777,0.011073324637096059,0,10,0.001953125
12,4,trm_prog_final-trm_nods,0.002366666666666667,0.008682803906358177,5,4,1.0
12,4,trm_prog_step-trm_stepDS,0.0007000000000000006,0.008259682766089363,6,4,0.75390625
12,4,trm_prog_step-trm_prog_final,-0.0023666666666666615,0.009519030105865758,3,7,0.34375
12,4,trm_prog_step-trm_nods,5.551115123125783e-18,0.00687194251753715,4,6,0.75390625
12,4,trm_prog_step-untied_matched,-0.034477777777777774,0.014854950263299535,0,10,0.001953125
12,8,trm_prog_final-trm_nods,0.012788888888888877,0.007642105944355003,10,0,0.001953125
12,8,trm_prog_step-trm_stepDS,0.006955555555555543,0.009575230963844883,7,3,0.34375
12,8,trm_prog_step-trm_prog_final,-0.009177777777777785,0.016607153002974263,2,8,0.109375
12,8,trm_prog_step-trm_nods,0.0036111111111110927,0.014204971211975712,5,5,1.0
12,8,trm_prog_step-untied_matched,-0.023022222222222243,0.011800792793808995,0,10,0.001953125
12,12,trm_prog_final-trm_nods,-0.004211111111111099,0.009529601560321961,4,6,0.75390625
12,12,trm_prog_step-trm_stepDS,-0.002100000000000002,0.009247911564929542,5,5,1.0
12,12,trm_prog_step-trm_prog_final,-0.012522222222222235,0.01456917184247558,2,8,0.109375
12,12,trm_prog_step-trm_nods,-0.016733333333333333,0.012437740698775903,2,8,0.109375
12,12,trm_prog_step-untied_matched,-0.01717777777777778,0.011056185229292116,2,8,0.109375
12,16,trm_prog_final-trm_nods,-0.0005444444444444252,0.009117349565533702,6,4,0.75390625
12,16,trm_prog_step-trm_stepDS,0.0019333333333333258,0.008539619598123705,7,3,0.34375
12,16,trm_prog_step-trm_prog_final,0.001033333333333325,0.005823195187763101,5,5,1.0
12,16,trm_prog_step-trm_nods,0.0004888888888888998,0.007613287063922883,4,6,0.75390625
12,16,trm_prog_step-untied_matched,-0.02045555555555556,0.010070594442632634,0,10,0.001953125
16,4,trm_prog_final-trm_nods,-0.001455555555555549,0.007277462060817561,5,5,1.0
16,4,trm_prog_step-trm_stepDS,-0.015322222222222215,0.011861043889132087,2,8,0.109375
16,4,trm_prog_step-trm_prog_final,0.02514444444444445,0.008089358621552963,10,0,0.001953125
16,4,trm_prog_step-trm_nods,0.023688888888888898,0.009988168583870003,10,0,0.001953125
16,4,trm_prog_step-untied_matched,0.0024111111111111195,0.011133563734340032,5,5,1.0
16,8,trm_prog_final-trm_nods,0.003633333333333344,0.010835729396310556,7,3,0.34375
16,8,trm_prog_step-trm_stepDS,0.001911111111111119,0.016464102364437204,6,4,0.75390625
16,8,trm_prog_step-trm_prog_final,-0.005622222222222228,0.016577556017449004,4,6,0.75390625
16,8,trm_prog_step-trm_nods,-0.0019888888888888847,0.013247713781591028,4,6,0.75390625
16,8,trm_prog_step-untied_matched,-0.014822222222222214,0.01258160740895779,0,10,0.001953125
16,12,trm_prog_final-trm_nods,-0.0007666666666666822,0.009985922876366005,3,7,0.34375
16,12,trm_prog_step-trm_stepDS,0.005566666666666669,0.009265990146131322,8,2,0.109375
16,12,trm_prog_step-trm_prog_final,-0.01796666666666665,0.010913181518887958,1,9,0.021484375
16,12,trm_prog_step-trm_nods,-0.018733333333333334,0.01401891726034017,0,10,0.001953125
16,12,trm_prog_step-untied_matched,-0.009111111111111103,0.010817097678896484,2,8,0.109375
16,16,trm_prog_final-trm_nods,-0.003611111111111104,0.013861973921042204,3,7,0.34375
16,16,trm_prog_step-trm_stepDS,0.00022222222222221256,0.008247042950120046,4,6,0.75390625
16,16,trm_prog_step-trm_prog_final,-0.00907777777777779,0.009576498725858237,3,7,0.34375
16,16,trm_prog_step-trm_nods,-0.012688888888888894,0.010864144219846751,2,8,0.109375
16,16,trm_prog_step-untied_matched,-0.014366666666666666,0.00794149561088611,0,10,0.001953125
