T_test,R_test,delta,delta_mean,delta_std,sign_pos,sign_neg,sign_p
6,6,trm_stepDS-untied_matched,0.08785625000000001,0.007936176617588305,10,0,0.001953125
6,6,trm_stepDS-ff_matched,0.002215624999999999,0.005419359306702141,7,3,0.34375
6,6,trm_prog_step-trm_stepDS,-0.002665625000000005,0.002706211107624068,2,8,0.109375
6,6,trm_nods-untied_matched,0.06190625000000001,0.010355853735797088,10,0,0.001953125
6,8,trm_stepDS-untied_matched,0.07490000000000001,0.009081897344442959,10,0,0.001953125
6,8,trm_stepDS-ff_matched,-0.010740625000000004,0.006494472977345615,1,9,0.021484375
6,8,trm_prog_step-trm_stepDS,-0.004190625000000003,0.004852298683857064,1,9,0.021484375
6,8,trm_nods-untied_matched,0.050246875,0.008893545397623135,10,0,0.001953125
6,12,trm_stepDS-untied_matched,0.05138750000000001,0.01203310501572408,10,0,0.001953125
6,12,trm_stepDS-ff_matched,-0.03425312500000001,0.010388372510655317,0,10,0.001953125
6,12,trm_prog_step-trm_stepDS,-0.007362499999999994,0.009555350904220003,1,9,0.021484375
6,12,trm_nods-untied_matched,0.0283875,0.009484890671044471,10,0,0.001953125
6,16,trm_stepDS-untied_matched,0.03713124999999999,0.013520607021732075,10,0,0.001953125
6,16,trm_stepDS-ff_matched,-0.04850937500000002,0.012422608075853072,0,10,0.001953125
6,16,trm_prog_step-trm_stepDS,-0.010634374999999996,0.012037404179986673,1,9,0.021484375
6,16,trm_nods-untied_matched,0.012553124999999988,0.012262191442629428,9,1,0.021484375
6,24,trm_stepDS-untied_matched,0.022590624999999996,0.016134696764121065,10,0,0.001953125
6,24,trm_stepDS-ff_matched,-0.06305000000000002,0.015457948669966973,0,10,0.001953125
6,24,trm_prog_step-trm_stepDS,-0.014296874999999987,0.015055087286754778,1,9,0.021484375
6,24,trm_nods-untied_matched,-0.006290625000000005,0.020615823137300923,4,6,0.75390625
