config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=13, w=24",trm_nods-untied_matched,accuracy,0.09011666666666666,0.0154348216425005,10,10,0,0.001953125
"rule=13, w=24",trm_nods-untied_matched,exact_match,0.372,0.09105065745079616,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-untied_stepDS,accuracy,0.07778749999999998,0.011138810092544792,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-untied_stepDS,exact_match,0.3031,0.06289046915957226,10,10,0,0.001953125
"rule=13, w=24",trm_nods-ff_matched,accuracy,0.010858333333333314,0.01409014190011697,10,8,2,0.109375
"rule=13, w=24",trm_nods-ff_matched,exact_match,0.16499999999999998,0.10410037890847895,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-ff_matched,accuracy,0.0033708333333333116,0.011805236106789137,10,7,3,0.34375
"rule=13, w=24",trm_stepDS-ff_matched,exact_match,0.09589999999999999,0.08314438579296192,10,8,2,0.109375
"rule=13, w=24",trm_stepDS-untied_matched,accuracy,0.08262916666666667,0.013495161598664698,10,10,0,0.001953125
"rule=13, w=24",trm_stepDS-untied_matched,exact_match,0.3029,0.0626408634820576,10,10,0,0.001953125
"rule=13, w=32",trm_nods-untied_matched,accuracy,0.06251250000000001,0.006679759279178997,10,10,0,0.001953125
"rule=13, w=32",trm_nods-untied_matched,exact_match,0.0534,0.016125893601423906,10,10,0,0.001953125
"rule=13, w=32",trm_stepDS-untied_stepDS,accuracy,0.06054375000000001,0.003824100066609695,10,10,0,0.001953125
"rule=13, w=32",trm_stepDS-untied_stepDS,exact_match,0.06490000000000001,0.014715449175762335,10,10,0,0.001953125
"rule=13, w=32",trm_nods-ff_matched,accuracy,-0.014659374999999997,0.0062743008477815325,10,0,10,0.001953125
"rule=13, w=32",trm_nods-ff_matched,exact_match,-0.009399999999999999,0.02240634830677334,10,4,6,0.75390625
"rule=13, w=32",trm_stepDS-ff_matched,accuracy,-0.007453125000000005,0.005968872708162724,10,1,9,0.021484375
"rule=13, w=32",trm_stepDS-ff_matched,exact_match,0.0010000000000000009,0.018269586141392964,10,6,4,0.75390625
"rule=13, w=32",trm_stepDS-untied_matched,accuracy,0.06971875000000001,0.005807868525160972,10,10,0,0.001953125
"rule=13, w=32",trm_stepDS-untied_matched,exact_match,0.06380000000000001,0.017190436617814893,10,10,0,0.001953125
"rule=78, w=24",trm_nods-untied_matched,accuracy,0.07689583333333334,0.01856501598902729,10,10,0,0.001953125
"rule=78, w=24",trm_nods-untied_matched,exact_match,0.3182,0.07762845984416913,10,10,0,0.001953125
"rule=78, w=24",trm_stepDS-untied_stepDS,accuracy,0.07284583333333335,0.010338559946107568,10,10,0,0.001953125
"rule=78, w=24",trm_stepDS-untied_stepDS,exact_match,0.29250000000000004,0.03317043529677864,10,10,0,0.001953125
