config,arm,n_params,ref_params,ratio,role,within_tol
"rule=13, w=24",trm_stepDS,16624,16624,1.0000,matched,True
"rule=13, w=24",trm_nods,16624,16624,1.0000,reference,True
"rule=13, w=24",ff_matched,16592,16624,0.9981,matched,True
"rule=13, w=24",untied_matched,17033,16624,1.0246,matched,False
"rule=13, w=24",untied_stepDS,17033,16624,1.0246,matched,False
"rule=13, w=32",trm_stepDS,19200,19200,1.0000,matched,True
"rule=13, w=32",trm_nods,19200,19200,1.0000,reference,True
"rule=13, w=32",ff_matched,19159,19200,0.9979,matched,True
"rule=13, w=32",untied_matched,19792,19200,1.0308,matched,False
"rule=13, w=32",untied_stepDS,19792,19200,1.0308,matched,False
"rule=78, w=24",trm_stepDS,16624,16624,1.0000,matched,True
"rule=78, w=24",trm_nods,16624,16624,1.0000,reference,True
"rule=78, w=24",ff_matched,16592,16624,0.9981,matched,True
"rule=78, w=24",untied_matched,17033,16624,1.0246,matched,False
"rule=78, w=24",untied_stepDS,17033,16624,1.0246,matched,False
"rule=78, w=32",trm_stepDS,19200,19200,1.0000,matched,True
"rule=78, w=32",trm_nods,19200,19200,1.0000,reference,True
"rule=78, w=32",ff_matched,19159,19200,0.9979,matched,True
"rule=78, w=32",untied_matched,19792,19200,1.0308,matched,False
"rule=78, w=32",untied_stepDS,19792,19200,1.0308,matched,False
"rule=92, w=24",trm_stepDS,16624,16624,1.0000,matched,True
"rule=92, w=24",trm_nods,16624,16624,1.0000,reference,True
"rule=92, w=24",ff_matched,16592,16624,0.9981,matched,True
"rule=92, w=24",untied_matched,17033,16624,1.0246,matched,False
"rule=92, w=24",untied_stepDS,17033,16624,1.0246,matched,False
"rule=92, w=32",trm_stepDS,19200,19200,1.0000,matched,True
"rule=92, w=32",trm_nods,19200,19200,1.0000,reference,True
"rule=92, w=32",ff_matched,19159,19200,0.9979,matched,True
"rule=92, w=32",untied_matched,19792,19200,1.0308,matched,False
"rule=92, w=32",untied_stepDS,19792,19200,1.0308,matched,False
