config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p
"rule=78, w=12",trm_nods-untied_matched,accuracy,0.008983333333333333,0.00639948396839372,10,10,0,0.001953125
"rule=78, w=12",trm_nods-untied_matched,exact_match,0.056600000000000025,0.036917926991278015,10,10,0,0.001953125
"rule=78, w=12",trm_nods-untied_matched,coherence_excess,-0.03281625054179023,0.028477041269632682,10,2,8,0.109375
"rule=78, w=12",trm_stepDS-untied_stepDS,accuracy,-0.014550000000000018,0.03220433411518501,10,3,7,0.34375
"rule=78, w=12",trm_stepDS-untied_stepDS,exact_match,-0.06920000000000001,0.14946779660589843,10,3,7,0.34375
"rule=78, w=12",trm_stepDS-untied_stepDS,coherence_excess,0.029570527664378114,0.06765652786045159,10,6,4,0.75390625
"rule=78, w=12",trm_nods-ff_matched,accuracy,0.037799999999999986,0.0085863622846902,10,10,0,0.001953125
"rule=78, w=12",trm_nods-ff_matched,exact_match,0.27280000000000004,0.05351801358213678,10,10,0,0.001953125
"rule=78, w=12",trm_nods-ff_matched,coherence_excess,-0.04785126850016859,0.014600325579737623,10,0,10,0.001953125
"rule=78, w=12",trm_stepDS-ff_matched,accuracy,0.021474999999999987,0.031260653739520916,10,8,2,0.109375
"rule=78, w=12",trm_stepDS-ff_matched,exact_match,0.19449999999999998,0.14338158102691498,10,8,2,0.109375
"rule=78, w=12",trm_stepDS-ff_matched,coherence_excess,-0.008381451232078114,0.07489721241723035,10,2,8,0.109375
"rule=78, w=16",trm_nods-untied_matched,accuracy,0.05156875000000001,0.009666731770614069,10,10,0,0.001953125
"rule=78, w=16",trm_nods-untied_matched,exact_match,0.36360000000000003,0.04749549686256815,10,10,0,0.001953125
"rule=78, w=16",trm_nods-untied_matched,coherence_excess,-0.056735596780283594,0.016609591256174176,10,0,10,0.001953125
"rule=78, w=16",trm_stepDS-untied_stepDS,accuracy,0.029412499999999998,0.008542947058506485,10,10,0,0.001953125
"rule=78, w=16",trm_stepDS-untied_stepDS,exact_match,0.21869999999999998,0.06104652142241833,10,10,0,0.001953125
"rule=78, w=16",trm_stepDS-untied_stepDS,coherence_excess,-0.037075650460978146,0.0325054507801284,10,2,8,0.109375
"rule=78, w=16",trm_nods-ff_matched,accuracy,0.028200000000000013,0.008106485315268678,10,10,0,0.001953125
